Index: 1, Agree: 0.6849303245544434, Strongly agree: 0.3004177510738373, Disagree: 0.008511390537023544, Strongly disagree: 0.006140580400824547
Index: 2, Agree: 0.7832815647125244, Strongly agree: 0.19435827434062958, Disagree: 0.012787429615855217, Strongly disagree: 0.009572801180183887
Index: 3, Agree: 0.7297636270523071, Strongly agree: 0.2584545910358429, Disagree: 0.006614210084080696, Strongly disagree: 0.005167558789253235
Index: 4, Agree: 0.683246374130249, Strongly agree: 0.29445046186447144, Disagree: 0.011722791939973831, Strongly disagree: 0.010580381378531456
Index: 5, Agree: 0.7604236602783203, Strongly agree: 0.22161753475666046, Disagree: 0.009337269701063633, Strongly disagree: 0.008621521294116974
Index: 6, Agree: 0.735781192779541, Strongly agree: 0.25244322419166565, Disagree: 0.006473012734204531, Strongly disagree: 0.005302502308040857
Index: 7, Agree: 0.7575207948684692, Strongly agree: 0.22281920909881592, Disagree: 0.009913971647620201, Strongly disagree: 0.009746083989739418
Index: 8, Agree: 0.756575882434845, Strongly agree: 0.22532416880130768, Disagree: 0.00930793210864067, Strongly disagree: 0.008792106993496418
Index: 9, Agree: 0.773038923740387, Strongly agree: 0.20572274923324585, Disagree: 0.011250624433159828, Strongly disagree: 0.009987721219658852
Index: 10, Agree: 0.7191722393035889, Strongly agree: 0.26906895637512207, Disagree: 0.00628324132412672, Strongly disagree: 0.005475608166307211
Index: 11, Agree: 0.6306454539299011, Strongly agree: 0.3539641201496124, Disagree: 0.008777114562690258, Strongly disagree: 0.006613315548747778
Index: 12, Agree: 0.7022799849510193, Strongly agree: 0.28569555282592773, Disagree: 0.006518182344734669, Strongly disagree: 0.005506259389221668
Index: 13, Agree: 0.702530026435852, Strongly agree: 0.28383591771125793, Disagree: 0.0073227728717029095, Strongly disagree: 0.006311265751719475
Index: 14, Agree: 0.6830810904502869, Strongly agree: 0.29494521021842957, Disagree: 0.011711608618497849, Strongly disagree: 0.01026203390210867
Index: 15, Agree: 0.6961072087287903, Strongly agree: 0.2785472273826599, Disagree: 0.013735625892877579, Strongly disagree: 0.011609961278736591
Index: 16, Agree: 0.7439238429069519, Strongly agree: 0.24383485317230225, Disagree: 0.006742545869201422, Strongly disagree: 0.005498675629496574
Index: 17, Agree: 0.6924625635147095, Strongly agree: 0.29383593797683716, Disagree: 0.0074103097431361675, Strongly disagree: 0.006291199009865522
Index: 18, Agree: 0.7496820092201233, Strongly agree: 0.23253045976161957, Disagree: 0.009621375240385532, Strongly disagree: 0.008166197687387466
Index: 19, Agree: 0.7238190770149231, Strongly agree: 0.2634553611278534, Disagree: 0.006887967698276043, Strongly disagree: 0.005837609060108662
