Index: 1, Strongly agree: 0.6662179231643677, Agree: 0.3042268753051758, Strongly disagree: 0.015110141597688198, Disagree: 0.014445076696574688
Index: 2, Strongly agree: 0.7109654545783997, Agree: 0.1316566914319992, Disagree: 0.10682246088981628, Strongly disagree: 0.05055546015501022
Index: 3, Strongly agree: 0.7778981328010559, Agree: 0.10237174481153488, Disagree: 0.06603754311800003, Strongly disagree: 0.053692642599344254
Index: 4, Strongly agree: 0.7631078958511353, Agree: 0.17663459479808807, Strongly disagree: 0.031631194055080414, Disagree: 0.028626376762986183
Index: 5, Strongly agree: 0.8121162056922913, Agree: 0.11427329480648041, Strongly disagree: 0.03683445230126381, Disagree: 0.03677605465054512
Index: 6, Strongly agree: 0.8124057650566101, Agree: 0.14134074747562408, Strongly disagree: 0.02623739279806614, Disagree: 0.020016085356473923
Index: 7, Strongly agree: 0.848817765712738, Agree: 0.0702504962682724, Disagree: 0.05000501498579979, Strongly disagree: 0.030926687642931938
Index: 8, Strongly disagree: 0.4351482689380646, Strongly agree: 0.2840062081813812, Disagree: 0.25208911299705505, Agree: 0.02875644527375698
Index: 9, Strongly agree: 0.4376038908958435, Disagree: 0.31765180826187134, Agree: 0.12959705293178558, Strongly disagree: 0.11514727026224136
Index: 10, Strongly agree: 0.6014912128448486, Agree: 0.3915505111217499, Strongly disagree: 0.0037544132210314274, Disagree: 0.003203918458893895
Index: 11, Strongly agree: 0.37760281562805176, Disagree: 0.2841781675815582, Strongly disagree: 0.17774850130081177, Agree: 0.16047051548957825
Index: 12, Strongly agree: 0.7036470174789429, Agree: 0.2048485279083252, Disagree: 0.06257617473602295, Strongly disagree: 0.028928332030773163
Index: 13, Strongly agree: 0.6715697646141052, Agree: 0.2941769063472748, Strongly disagree: 0.018261507153511047, Disagree: 0.015991736203432083
Index: 14, Strongly agree: 0.6174907684326172, Disagree: 0.19162440299987793, Strongly disagree: 0.1436992585659027, Agree: 0.04718559980392456
Index: 15, Strongly agree: 0.5578793883323669, Agree: 0.3966062366962433, Strongly disagree: 0.02467336878180504, Disagree: 0.02084106020629406
Index: 16, Strongly agree: 0.7766997218132019, Agree: 0.19642068445682526, Strongly disagree: 0.013633978553116322, Disagree: 0.013245539739727974
Index: 17, Strongly agree: 0.7561866044998169, Agree: 0.1884569227695465, Strongly disagree: 0.02863972820341587, Disagree: 0.026716720312833786
Index: 18, Strongly agree: 0.8180745840072632, Agree: 0.08277390897274017, Disagree: 0.05351116880774498, Strongly disagree: 0.04564033821225166
Index: 19, Strongly agree: 0.6664219498634338, Agree: 0.3033009171485901, Strongly disagree: 0.016217736527323723, Disagree: 0.014059358276426792
Index: 20, Strongly agree: 0.5530105829238892, Agree: 0.4190930426120758, Strongly disagree: 0.014436619356274605, Disagree: 0.013459722511470318
Index: 21, Strongly agree: 0.6474373936653137, Agree: 0.3165573477745056, Strongly disagree: 0.018165936693549156, Disagree: 0.01783929020166397
Index: 22, Strongly agree: 0.6403631567955017, Agree: 0.29778069257736206, Disagree: 0.031035715714097023, Strongly disagree: 0.030820397660136223
Index: 23, Strongly agree: 0.7927854657173157, Disagree: 0.08003570139408112, Agree: 0.0791299119591713, Strongly disagree: 0.04804893210530281
Index: 24, Strongly agree: 0.8362675905227661, Agree: 0.0876636952161789, Strongly disagree: 0.04055498167872429, Disagree: 0.03551371395587921
Index: 25, Strongly agree: 0.5412771105766296, Agree: 0.4328211843967438, Strongly disagree: 0.014827250503003597, Disagree: 0.011074535548686981
Index: 26, Strongly agree: 0.585763692855835, Agree: 0.37948331236839294, Strongly disagree: 0.01883668638765812, Disagree: 0.015916254371404648
Index: 27, Strongly agree: 0.5852468013763428, Agree: 0.3947112262248993, Strongly disagree: 0.010328179225325584, Disagree: 0.009713848121464252
Index: 28, Strongly agree: 0.777885377407074, Agree: 0.1851256638765335, Strongly disagree: 0.02026534453034401, Disagree: 0.016723623499274254
Index: 29, Strongly agree: 0.7035630941390991, Agree: 0.2609226405620575, Strongly disagree: 0.018003374338150024, Disagree: 0.017510831356048584
Index: 30, Strongly agree: 0.5878101587295532, Agree: 0.38737577199935913, Strongly disagree: 0.013560045510530472, Disagree: 0.011254007928073406
