Index: 1, Agree: 0.7189474701881409, Strongly agree: 0.2658456563949585, Disagree: 0.008869278244674206, Strongly disagree: 0.0063376156613230705
Index: 2, Agree: 0.7123639583587646, Strongly agree: 0.2709372937679291, Disagree: 0.009266764856874943, Strongly disagree: 0.007432001642882824
Index: 3, Agree: 0.7481310367584229, Strongly agree: 0.23716969788074493, Disagree: 0.008112301118671894, Strongly disagree: 0.0065869735553860664
Index: 4, Agree: 0.7220932245254517, Strongly agree: 0.2624800205230713, Disagree: 0.00832117535173893, Strongly disagree: 0.007105608936399221
Index: 5, Agree: 0.7113251090049744, Strongly agree: 0.2725888192653656, Disagree: 0.008655582554638386, Strongly disagree: 0.007430412340909243
Index: 6, Agree: 0.7715643644332886, Strongly agree: 0.21437788009643555, Disagree: 0.007727809716016054, Strongly disagree: 0.006329898722469807
Index: 7, Agree: 0.757778525352478, Strongly agree: 0.2282503992319107, Disagree: 0.007687184493988752, Strongly disagree: 0.006283923517912626
Index: 8, Agree: 0.7583630681037903, Strongly agree: 0.228190079331398, Disagree: 0.007260249461978674, Strongly disagree: 0.006186545826494694
Index: 9, Agree: 0.7357327938079834, Strongly agree: 0.2508818805217743, Disagree: 0.00715822447091341, Strongly disagree: 0.00622699037194252
Index: 10, Agree: 0.7114052772521973, Strongly agree: 0.27489954233169556, Disagree: 0.007279544603079557, Strongly disagree: 0.006415605545043945
Index: 11, Agree: 0.6991515159606934, Strongly agree: 0.28336983919143677, Disagree: 0.010442625731229782, Strongly disagree: 0.007035959977656603
Index: 12, Agree: 0.7075685262680054, Strongly agree: 0.27733758091926575, Disagree: 0.008352022618055344, Strongly disagree: 0.006741893012076616
Index: 13, Agree: 0.7151929140090942, Strongly agree: 0.2701382040977478, Disagree: 0.007938382215797901, Strongly disagree: 0.006730538327246904
Index: 14, Agree: 0.7422370314598083, Strongly agree: 0.24453148245811462, Disagree: 0.007134131155908108, Strongly disagree: 0.006097397301346064
Index: 15, Agree: 0.7737339735031128, Strongly agree: 0.2068602293729782, Disagree: 0.011438574641942978, Strongly disagree: 0.007967204786837101
Index: 16, Agree: 0.7448787689208984, Strongly agree: 0.24081316590309143, Disagree: 0.007808401249349117, Strongly disagree: 0.006499602925032377
Index: 17, Agree: 0.7284889817237854, Strongly agree: 0.25451788306236267, Disagree: 0.009165593422949314, Strongly disagree: 0.007827525027096272
Index: 18, Agree: 0.7155297994613647, Strongly agree: 0.27072373032569885, Disagree: 0.007450254168361425, Strongly disagree: 0.006296181585639715
Index: 19, Agree: 0.7551726698875427, Strongly agree: 0.2295101135969162, Disagree: 0.008397695608437061, Strongly disagree: 0.006919557228684425
Index: 20, Agree: 0.7807682752609253, Strongly agree: 0.20691461861133575, Disagree: 0.006808088161051273, Strongly disagree: 0.005509026348590851
Index: 21, Agree: 0.7524352073669434, Strongly agree: 0.23008786141872406, Disagree: 0.01019938662648201, Strongly disagree: 0.007277576718479395
Index: 22, Agree: 0.7434775829315186, Strongly agree: 0.23889733850955963, Disagree: 0.009650382213294506, Strongly disagree: 0.00797474104911089
Index: 23, Agree: 0.7000677585601807, Strongly agree: 0.2850591540336609, Disagree: 0.008176506496965885, Strongly disagree: 0.006696544587612152
Index: 24, Agree: 0.6861248016357422, Strongly agree: 0.29848411679267883, Disagree: 0.00842433050274849, Strongly disagree: 0.006966743152588606
Index: 25, Agree: 0.734406590461731, Strongly agree: 0.2526194751262665, Disagree: 0.007279566489160061, Strongly disagree: 0.005694361869245768
Index: 26, Agree: 0.7691901326179504, Strongly agree: 0.21810133755207062, Disagree: 0.006898405496031046, Strongly disagree: 0.005810124333947897
Index: 27, Agree: 0.7276443839073181, Strongly agree: 0.25340452790260315, Disagree: 0.010498810559511185, Strongly disagree: 0.008452359586954117
Index: 28, Agree: 0.7570070028305054, Strongly agree: 0.23062343895435333, Disagree: 0.006711748894304037, Strongly disagree: 0.005657789763063192
Index: 29, Agree: 0.7684611082077026, Strongly agree: 0.21971333026885986, Disagree: 0.006520565133541822, Strongly disagree: 0.005304974038153887
Index: 30, Agree: 0.7364551424980164, Strongly agree: 0.25060829520225525, Disagree: 0.007083372678607702, Strongly disagree: 0.0058531854301691055
Index: 31, Agree: 0.7662143111228943, Strongly agree: 0.22040265798568726, Disagree: 0.007385100703686476, Strongly disagree: 0.005998049397021532
Index: 32, Agree: 0.7375059127807617, Strongly agree: 0.2480139583349228, Disagree: 0.007805762812495232, Strongly disagree: 0.0066743455827236176
Index: 33, Agree: 0.7413228750228882, Strongly agree: 0.24366073310375214, Disagree: 0.00876525603234768, Strongly disagree: 0.006251191254705191
Index: 34, Agree: 0.7607991695404053, Strongly agree: 0.22594676911830902, Disagree: 0.0071283187717199326, Strongly disagree: 0.0061257886700332165
Index: 35, Agree: 0.7113786935806274, Strongly agree: 0.2721836566925049, Disagree: 0.009251074865460396, Strongly disagree: 0.00718662841245532
Index: 36, Agree: 0.7185450792312622, Strongly agree: 0.26579251885414124, Disagree: 0.009128001518547535, Strongly disagree: 0.0065343729220330715
Index: 37, Agree: 0.7645324468612671, Strongly agree: 0.2222878485918045, Disagree: 0.007152970880270004, Strongly disagree: 0.006026619113981724
Index: 38, Agree: 0.7103700637817383, Strongly agree: 0.2768767774105072, Disagree: 0.007498628925532103, Strongly disagree: 0.005254562012851238
Index: 39, Agree: 0.7498072981834412, Strongly agree: 0.23275402188301086, Disagree: 0.009450624696910381, Strongly disagree: 0.007988075725734234
Index: 40, Agree: 0.7216657996177673, Strongly agree: 0.2640770673751831, Disagree: 0.00751085439696908, Strongly disagree: 0.006746286991983652
Index: 41, Agree: 0.6759429574012756, Strongly agree: 0.30607619881629944, Disagree: 0.010120280086994171, Strongly disagree: 0.007860508747398853
Index: 42, Agree: 0.7729538083076477, Strongly agree: 0.2116607129573822, Disagree: 0.008596567437052727, Strongly disagree: 0.006788892205804586
Index: 43, Agree: 0.7673501372337341, Strongly agree: 0.22048832476139069, Disagree: 0.006613501347601414, Strongly disagree: 0.005547955632209778
Index: 44, Agree: 0.7309101223945618, Strongly agree: 0.25492483377456665, Disagree: 0.008165247738361359, Strongly disagree: 0.005999749526381493
Index: 45, Agree: 0.7076970934867859, Strongly agree: 0.2756117880344391, Disagree: 0.009083060547709465, Strongly disagree: 0.007608070503920317
Index: 46, Agree: 0.7369855642318726, Strongly agree: 0.2489047348499298, Disagree: 0.007591266185045242, Strongly disagree: 0.006518413778394461
Index: 47, Agree: 0.7706857323646545, Strongly agree: 0.21628275513648987, Disagree: 0.007186697330325842, Strongly disagree: 0.00584478210657835
Index: 48, Agree: 0.7552189230918884, Strongly agree: 0.23118837177753448, Disagree: 0.007337575778365135, Strongly disagree: 0.006255121901631355
Index: 49, Agree: 0.7672237157821655, Strongly agree: 0.21930812299251556, Disagree: 0.007360209710896015, Strongly disagree: 0.006107912864536047
Index: 50, Agree: 0.7563987970352173, Strongly agree: 0.2318551391363144, Disagree: 0.0062988391146063805, Strongly disagree: 0.005447132978588343
Index: 51, Agree: 0.7403848171234131, Strongly agree: 0.24433620274066925, Disagree: 0.008704230189323425, Strongly disagree: 0.006574694067239761
Index: 52, Agree: 0.7414323091506958, Strongly agree: 0.24436713755130768, Disagree: 0.007986847311258316, Strongly disagree: 0.006213753949850798
Index: 53, Agree: 0.7107642889022827, Strongly agree: 0.27322444319725037, Disagree: 0.008327264338731766, Strongly disagree: 0.007683978416025639
Index: 54, Agree: 0.7646073698997498, Strongly agree: 0.22291040420532227, Disagree: 0.007068790961056948, Strongly disagree: 0.005413413979113102
Index: 55, Agree: 0.7246673703193665, Strongly agree: 0.2590957581996918, Disagree: 0.008825085125863552, Strongly disagree: 0.007411743979901075
Index: 56, Agree: 0.7576961517333984, Strongly agree: 0.23073624074459076, Disagree: 0.006030844524502754, Strongly disagree: 0.0055367667227983475
Index: 57, Agree: 0.7313098311424255, Strongly agree: 0.2494095265865326, Disagree: 0.010363323614001274, Strongly disagree: 0.008917324244976044
Index: 58, Agree: 0.725304126739502, Strongly agree: 0.2617683410644531, Disagree: 0.00738119799643755, Strongly disagree: 0.005546258762478828
Index: 59, Agree: 0.754950225353241, Strongly agree: 0.23023012280464172, Disagree: 0.008193611167371273, Strongly disagree: 0.0066261813044548035
Index: 60, Agree: 0.7225838899612427, Strongly agree: 0.2604089081287384, Disagree: 0.009528597816824913, Strongly disagree: 0.007478620391339064
