Index: 1, Strongly agree: 0.7167593240737915, Agree: 0.20857687294483185, Strongly disagree: 0.04074084758758545, Disagree: 0.03392292931675911
Index: 2, Strongly agree: 0.697323739528656, Agree: 0.1596069633960724, Strongly disagree: 0.07158619910478592, Disagree: 0.07148304581642151
Index: 3, Strongly agree: 0.6732499599456787, Agree: 0.15246812999248505, Strongly disagree: 0.1006363034248352, Disagree: 0.07364565134048462
Index: 4, Strongly agree: 0.743451714515686, Agree: 0.13935843110084534, Strongly disagree: 0.06153129041194916, Disagree: 0.05565861612558365
Index: 5, Strongly agree: 0.6468295454978943, Agree: 0.23090718686580658, Disagree: 0.0619041882455349, Strongly disagree: 0.060359083116054535
Index: 6, Strongly agree: 0.7641260623931885, Agree: 0.1585475504398346, Strongly disagree: 0.04493506997823715, Disagree: 0.032391272485256195
Index: 7, Strongly agree: 0.7509688138961792, Agree: 0.15725106000900269, Strongly disagree: 0.04950645565986633, Disagree: 0.04227370768785477
Index: 8, Strongly disagree: 0.5784381031990051, Disagree: 0.3677961230278015, Strongly agree: 0.03139735385775566, Agree: 0.022368481382727623
Index: 9, Strongly agree: 0.7236883640289307, Agree: 0.1499704122543335, Strongly disagree: 0.06617125868797302, Disagree: 0.060169998556375504
Index: 10, Strongly agree: 0.7804215550422668, Agree: 0.13823775947093964, Strongly disagree: 0.04990469664335251, Disagree: 0.03143596276640892
Index: 11, Strongly agree: 0.7116902470588684, Agree: 0.2261911928653717, Disagree: 0.03293214738368988, Strongly disagree: 0.029186338186264038
Index: 12, Strongly agree: 0.7423110008239746, Agree: 0.1639155149459839, Strongly disagree: 0.04902021586894989, Disagree: 0.0447533056139946
Index: 13, Strongly agree: 0.6723561882972717, Agree: 0.22741201519966125, Strongly disagree: 0.05606875568628311, Disagree: 0.044163018465042114
Index: 14, Strongly agree: 0.7356575727462769, Agree: 0.17085014283657074, Strongly disagree: 0.056511290371418, Disagree: 0.036981064826250076
Index: 15, Strongly agree: 0.6575098037719727, Agree: 0.23881816864013672, Strongly disagree: 0.06033138185739517, Disagree: 0.043340664356946945
Index: 16, Strongly agree: 0.7497276663780212, Agree: 0.163564071059227, Strongly disagree: 0.04758521541953087, Disagree: 0.0391230471432209
Index: 17, Strongly agree: 0.7528218626976013, Agree: 0.1653667688369751, Strongly disagree: 0.047623272985219955, Disagree: 0.03418806940317154
