Index: 1, Strongly disagree: 0.3733510971069336, Strongly agree: 0.2945801019668579, Agree: 0.17240270972251892, Disagree: 0.15966607630252838
Index: 2, Strongly disagree: 0.4255284070968628, Disagree: 0.30282312631607056, Strongly agree: 0.20239482820034027, Agree: 0.06925362348556519
Index: 3, Strongly disagree: 0.5844343304634094, Disagree: 0.24168024957180023, Strongly agree: 0.11811502277851105, Agree: 0.0557703822851181
Index: 4, Strongly disagree: 0.4949818551540375, Disagree: 0.4723294973373413, Agree: 0.018277518451213837, Strongly agree: 0.014411098323762417
Index: 5, Strongly disagree: 0.49894243478775024, Disagree: 0.3160267174243927, Agree: 0.11115461587905884, Strongly agree: 0.07387625426054001
Index: 6, Disagree: 0.42906543612480164, Strongly disagree: 0.4219348728656769, Strongly agree: 0.08007828146219254, Agree: 0.06892138719558716
Index: 7, Strongly agree: 0.44467467069625854, Strongly disagree: 0.23305240273475647, Agree: 0.18911902606487274, Disagree: 0.13315390050411224
Index: 8, Strongly disagree: 0.4032926857471466, Disagree: 0.273006409406662, Strongly agree: 0.19343093037605286, Agree: 0.13026989996433258
Index: 9, Disagree: 0.37621986865997314, Strongly disagree: 0.2656877636909485, Agree: 0.21414653956890106, Strongly agree: 0.1439458429813385
Index: 10, Strongly disagree: 0.36635011434555054, Disagree: 0.36201727390289307, Agree: 0.15333683788776398, Strongly agree: 0.11829572170972824
Index: 11, Strongly agree: 0.42841944098472595, Strongly disagree: 0.21407818794250488, Agree: 0.1823207288980484, Disagree: 0.17518167197704315
Index: 12, Strongly disagree: 0.5113847851753235, Disagree: 0.2501334249973297, Strongly agree: 0.13216723501682281, Agree: 0.10631460696458817
Index: 13, Strongly agree: 0.3529094457626343, Strongly disagree: 0.2581616938114166, Disagree: 0.20798476040363312, Agree: 0.1809440702199936
Index: 14, Strongly disagree: 0.4803016185760498, Disagree: 0.251354455947876, Strongly agree: 0.14747929573059082, Agree: 0.12086457014083862
Index: 15, Strongly disagree: 0.3928113579750061, Disagree: 0.3546505868434906, Strongly agree: 0.13211871683597565, Agree: 0.12041933089494705
Index: 16, Strongly disagree: 0.3912428021430969, Disagree: 0.35361379384994507, Strongly agree: 0.15651117265224457, Agree: 0.09863226115703583
Index: 17, Strongly disagree: 0.604924738407135, Disagree: 0.2600390315055847, Strongly agree: 0.08319418877363205, Agree: 0.05184207111597061
Index: 18, Strongly disagree: 0.39619624614715576, Disagree: 0.2452690750360489, Strongly agree: 0.22793099284172058, Agree: 0.13060370087623596
Index: 19, Strongly disagree: 0.40251424908638, Disagree: 0.25415974855422974, Strongly agree: 0.19100601971149445, Agree: 0.1523200124502182
Index: 20, Strongly disagree: 0.4283914268016815, Disagree: 0.3433769941329956, Agree: 0.11709024757146835, Strongly agree: 0.11114132404327393
Index: 21, Disagree: 0.34646832942962646, Strongly disagree: 0.33257389068603516, Agree: 0.17193882167339325, Strongly agree: 0.14901892840862274
Index: 22, Strongly disagree: 0.5318242311477661, Disagree: 0.35402488708496094, Strongly agree: 0.07010752707719803, Agree: 0.044043418020009995
Index: 23, Disagree: 0.4434345066547394, Strongly disagree: 0.277737557888031, Agree: 0.1590268313884735, Strongly agree: 0.11980104446411133
Index: 24, Strongly disagree: 0.5165587663650513, Disagree: 0.22586742043495178, Strongly agree: 0.16654221713542938, Agree: 0.09103158861398697
Index: 25, Strongly disagree: 0.5375518798828125, Disagree: 0.22425828874111176, Strongly agree: 0.15300552546977997, Agree: 0.08518429100513458
Index: 26, Strongly disagree: 0.351789265871048, Disagree: 0.30292853713035583, Strongly agree: 0.1752282977104187, Agree: 0.17005383968353271
Index: 27, Strongly disagree: 0.30829349160194397, Agree: 0.27669185400009155, Disagree: 0.23006054759025574, Strongly agree: 0.18495409190654755
Index: 28, Strongly disagree: 0.6263449788093567, Disagree: 0.26544642448425293, Strongly agree: 0.06667117029428482, Agree: 0.04153742641210556
Index: 29, Strongly agree: 0.3046090006828308, Strongly disagree: 0.2831924259662628, Disagree: 0.23652580380439758, Agree: 0.1756727397441864
Index: 30, Strongly disagree: 0.4154146611690521, Disagree: 0.3210013210773468, Strongly agree: 0.14821076393127441, Agree: 0.11537319421768188
Index: 31, Disagree: 0.421872615814209, Strongly disagree: 0.4098302721977234, Strongly agree: 0.10035371035337448, Agree: 0.06794334203004837
Index: 32, Strongly disagree: 0.6009835004806519, Disagree: 0.2289327085018158, Strongly agree: 0.09697195142507553, Agree: 0.07311179488897324
Index: 33, Strongly disagree: 0.4561336040496826, Disagree: 0.4094567596912384, Agree: 0.06888371706008911, Strongly agree: 0.06552593410015106
Index: 34, Strongly disagree: 0.45395779609680176, Disagree: 0.33253607153892517, Agree: 0.11185626685619354, Strongly agree: 0.10164977610111237
Index: 35, Strongly disagree: 0.655750036239624, Disagree: 0.20803627371788025, Strongly agree: 0.07794272154569626, Agree: 0.05827099829912186
Index: 36, Strongly disagree: 0.48133447766304016, Disagree: 0.3282698094844818, Strongly agree: 0.09697277098894119, Agree: 0.09342294186353683
Index: 37, Strongly disagree: 0.5748660564422607, Disagree: 0.22731369733810425, Strongly agree: 0.11077524721622467, Agree: 0.08704501390457153
Index: 38, Strongly disagree: 0.4137212634086609, Disagree: 0.2449331134557724, Strongly agree: 0.1889091581106186, Agree: 0.15243647992610931
Index: 39, Strongly disagree: 0.4146815240383148, Disagree: 0.31925103068351746, Strongly agree: 0.13882413506507874, Agree: 0.127243310213089
Index: 40, Strongly disagree: 0.34838634729385376, Disagree: 0.2595900297164917, Strongly agree: 0.20759347081184387, Agree: 0.18443021178245544
Index: 41, Strongly disagree: 0.6105620861053467, Disagree: 0.20015853643417358, Strongly agree: 0.12154359370470047, Agree: 0.06773578375577927
Index: 42, Strongly disagree: 0.33302557468414307, Strongly agree: 0.2453147917985916, Disagree: 0.23224440217018127, Agree: 0.18941518664360046
Index: 43, Strongly disagree: 0.44708889722824097, Strongly agree: 0.23057131469249725, Disagree: 0.2207881212234497, Agree: 0.10155168175697327
Index: 44, Strongly disagree: 0.6310867667198181, Disagree: 0.19299592077732086, Strongly agree: 0.10136613994836807, Agree: 0.07455119490623474
Index: 45, Strongly disagree: 0.4371258318424225, Disagree: 0.3069256544113159, Strongly agree: 0.1670505404472351, Agree: 0.08889797329902649
Index: 46, Disagree: 0.4370371997356415, Strongly disagree: 0.3000771403312683, Agree: 0.13320115208625793, Strongly agree: 0.12968453764915466
Index: 47, Strongly disagree: 0.5168628096580505, Disagree: 0.20131061971187592, Strongly agree: 0.17153212428092957, Agree: 0.11029449105262756
Index: 48, Strongly disagree: 0.5669026374816895, Disagree: 0.1825779378414154, Strongly agree: 0.15258823335170746, Agree: 0.09793118387460709
Index: 49, Strongly disagree: 0.5713503956794739, Disagree: 0.3613989055156708, Strongly agree: 0.04602959752082825, Agree: 0.021221088245511055
Index: 50, Strongly agree: 0.43115371465682983, Strongly disagree: 0.26958662271499634, Agree: 0.18455743789672852, Disagree: 0.11470212787389755
Index: 51, Disagree: 0.28599169850349426, Strongly agree: 0.2575741708278656, Strongly disagree: 0.24816501140594482, Agree: 0.2082691490650177
Index: 52, Strongly disagree: 0.35380372405052185, Disagree: 0.3296591639518738, Agree: 0.1679697483778, Strongly agree: 0.14856736361980438
Index: 53, Strongly disagree: 0.46575817465782166, Disagree: 0.4448872208595276, Strongly agree: 0.049174387007951736, Agree: 0.04018019512295723
Index: 54, Strongly disagree: 0.33233991265296936, Disagree: 0.31150659918785095, Strongly agree: 0.22645239531993866, Agree: 0.12970109283924103
Index: 55, Strongly disagree: 0.3801804780960083, Disagree: 0.3058960735797882, Strongly agree: 0.19241823256015778, Agree: 0.12150529772043228
Index: 56, Strongly disagree: 0.2961508631706238, Strongly agree: 0.2872558534145355, Disagree: 0.2685445547103882, Agree: 0.14804869890213013
Index: 57, Strongly disagree: 0.3428519666194916, Disagree: 0.2801660895347595, Strongly agree: 0.21459239721298218, Agree: 0.1623895764350891
Index: 58, Strongly agree: 0.588755190372467, Agree: 0.18695876002311707, Strongly disagree: 0.154007226228714, Disagree: 0.0702788308262825
Index: 59, Strongly disagree: 0.3875316381454468, Disagree: 0.3715115189552307, Agree: 0.12056881934404373, Strongly agree: 0.12038807570934296
Index: 60, Strongly disagree: 0.3770444989204407, Disagree: 0.3245762586593628, Strongly agree: 0.16911372542381287, Agree: 0.12926556169986725
Index: 61, Strongly disagree: 0.6235494017601013, Disagree: 0.3165781795978546, Strongly agree: 0.0363883413374424, Agree: 0.02348407357931137
Index: 62, Strongly disagree: 0.3876848816871643, Disagree: 0.3682321310043335, Strongly agree: 0.12314047664403915, Agree: 0.12094245105981827
