Index: 1, Strongly agree: 0.31305500864982605, Strongly disagree: 0.28862959146499634, Agree: 0.21190860867500305, Disagree: 0.18640673160552979
Index: 2, Strongly disagree: 0.48924705386161804, Disagree: 0.24725349247455597, Strongly agree: 0.16291561722755432, Agree: 0.10058383643627167
Index: 3, Strongly disagree: 0.5093581080436707, Disagree: 0.23621691763401031, Strongly agree: 0.17897263169288635, Agree: 0.07545240968465805
Index: 4, Strongly disagree: 0.6929930448532104, Disagree: 0.2610836327075958, Strongly agree: 0.02680003084242344, Agree: 0.019123319536447525
Index: 5, Strongly disagree: 0.42235398292541504, Disagree: 0.2809966206550598, Strongly agree: 0.1599852442741394, Agree: 0.13666421175003052
Index: 6, Strongly disagree: 0.48877739906311035, Disagree: 0.24618272483348846, Strongly agree: 0.15035951137542725, Agree: 0.11468038707971573
Index: 7, Strongly agree: 0.28236323595046997, Strongly disagree: 0.2571994364261627, Disagree: 0.2528407871723175, Agree: 0.2075965702533722
Index: 8, Strongly disagree: 0.4111100137233734, Disagree: 0.3375861644744873, Strongly agree: 0.13254740834236145, Agree: 0.11875644326210022
Index: 9, Strongly disagree: 0.4193951487541199, Disagree: 0.300294429063797, Strongly agree: 0.17353427410125732, Agree: 0.10677622258663177
Index: 10, Strongly agree: 0.3093580901622772, Strongly disagree: 0.2622706890106201, Agree: 0.23673374950885773, Disagree: 0.19163744151592255
Index: 11, Disagree: 0.3787097632884979, Strongly disagree: 0.3239486515522003, Agree: 0.16670654714107513, Strongly agree: 0.13063505291938782
Index: 12, Strongly disagree: 0.4215438663959503, Disagree: 0.24443361163139343, Strongly agree: 0.18887105584144592, Agree: 0.14515143632888794
Index: 13, Strongly disagree: 0.3143782615661621, Strongly agree: 0.29680612683296204, Disagree: 0.21098469197750092, Agree: 0.17783088982105255
Index: 14, Strongly disagree: 0.4901352822780609, Disagree: 0.2843881845474243, Strongly agree: 0.1325523853302002, Agree: 0.09292419999837875
Index: 15, Strongly disagree: 0.3160155117511749, Strongly agree: 0.2805336117744446, Agree: 0.21510957181453705, Disagree: 0.18834131956100464
Index: 16, Disagree: 0.41883188486099243, Strongly disagree: 0.33033496141433716, Strongly agree: 0.13112744688987732, Agree: 0.11970579624176025
Index: 17, Strongly disagree: 0.6051775813102722, Disagree: 0.2644217610359192, Strongly agree: 0.08425747603178024, Agree: 0.04614323005080223
Index: 18, Strongly disagree: 0.39827466011047363, Disagree: 0.30865490436553955, Strongly agree: 0.1697627156972885, Agree: 0.12330775707960129
Index: 19, Strongly disagree: 0.5758479833602905, Strongly agree: 0.17055948078632355, Disagree: 0.15664590895175934, Agree: 0.0969465896487236
Index: 20, Strongly disagree: 0.3802880048751831, Disagree: 0.3290547728538513, Strongly agree: 0.15755802392959595, Agree: 0.13309922814369202
Index: 21, Strongly disagree: 0.3981030583381653, Disagree: 0.3467376232147217, Agree: 0.12762507796287537, Strongly agree: 0.12753421068191528
Index: 22, Strongly disagree: 0.44762006402015686, Disagree: 0.28373363614082336, Strongly agree: 0.17146922647953033, Agree: 0.09717711806297302
Index: 23, Strongly disagree: 0.4120967984199524, Disagree: 0.345993310213089, Strongly agree: 0.1217917948961258, Agree: 0.12011808902025223
Index: 24, Strongly disagree: 0.4264814257621765, Strongly agree: 0.3086610734462738, Disagree: 0.15552422404289246, Agree: 0.10933329910039902
Index: 25, Strongly disagree: 0.4850407838821411, Disagree: 0.23658111691474915, Strongly agree: 0.1771763414144516, Agree: 0.10120179504156113
Index: 26, Disagree: 0.5017486810684204, Strongly disagree: 0.30679139494895935, Agree: 0.09996733069419861, Strongly agree: 0.09149256348609924
Index: 27, Strongly disagree: 0.47929441928863525, Disagree: 0.2763592302799225, Strongly agree: 0.1543472558259964, Agree: 0.08999916166067123
Index: 28, Strongly disagree: 0.5547069311141968, Disagree: 0.27731308341026306, Strongly agree: 0.10111118853092194, Agree: 0.06686882674694061
Index: 29, Strongly disagree: 0.3107350468635559, Strongly agree: 0.2952755093574524, Disagree: 0.2033580094575882, Agree: 0.19063140451908112
Index: 30, Strongly disagree: 0.3899995982646942, Disagree: 0.3331340253353119, Strongly agree: 0.17392736673355103, Agree: 0.10293907672166824
Index: 31, Disagree: 0.3990893065929413, Strongly disagree: 0.29527759552001953, Agree: 0.17911726236343384, Strongly agree: 0.12651585042476654
Index: 32, Strongly disagree: 0.4721965491771698, Disagree: 0.3073807954788208, Strongly agree: 0.1291922926902771, Agree: 0.09123042970895767
Index: 33, Strongly disagree: 0.44574645161628723, Disagree: 0.34681516885757446, Strongly agree: 0.13013151288032532, Agree: 0.07730685919523239
Index: 34, Strongly disagree: 0.37423670291900635, Strongly agree: 0.3645162880420685, Disagree: 0.13239027559757233, Agree: 0.12885668873786926
Index: 35, Strongly disagree: 0.49747928977012634, Disagree: 0.33370181918144226, Agree: 0.08467058837413788, Strongly agree: 0.08414829522371292
Index: 36, Strongly disagree: 0.47285959124565125, Disagree: 0.2836562991142273, Strongly agree: 0.1308041363954544, Agree: 0.11267999559640884
Index: 37, Strongly disagree: 0.5503392219543457, Disagree: 0.28526973724365234, Strongly agree: 0.08350498974323273, Agree: 0.08088601380586624
