Index: 1, Agree: 0.6883423924446106, Strongly agree: 0.28229132294654846, Disagree: 0.01502975169569254, Strongly disagree: 0.014336627908051014
Index: 2, Strongly disagree: 0.2846388816833496, Strongly agree: 0.2809700071811676, Disagree: 0.22674569487571716, Agree: 0.20764537155628204
Index: 3, Strongly disagree: 0.6001564264297485, Disagree: 0.30165860056877136, Strongly agree: 0.06714799255132675, Agree: 0.03103698417544365
Index: 4, Agree: 0.7498930096626282, Strongly agree: 0.2330015003681183, Strongly disagree: 0.008567927405238152, Disagree: 0.00853754859417677
Index: 5, Strongly agree: 0.49312829971313477, Agree: 0.33014699816703796, Disagree: 0.14521989226341248, Strongly disagree: 0.03150477632880211
Index: 6, Strongly disagree: 0.6429042816162109, Disagree: 0.28089696168899536, Strongly agree: 0.041782427579164505, Agree: 0.034416329115629196
Index: 7, Agree: 0.6171857118606567, Strongly agree: 0.3727880120277405, Strongly disagree: 0.0054605696350336075, Disagree: 0.004565673414617777
Index: 8, Disagree: 0.42679286003112793, Strongly disagree: 0.28357410430908203, Strongly agree: 0.15292178094387054, Agree: 0.1367112696170807
Index: 9, Strongly disagree: 0.42676031589508057, Disagree: 0.27751386165618896, Strongly agree: 0.17584429681301117, Agree: 0.1198815107345581
Index: 10, Agree: 0.5270652174949646, Strongly agree: 0.42369112372398376, Disagree: 0.027072934433817863, Strongly disagree: 0.02217062935233116
Index: 11, Strongly agree: 0.6722168326377869, Agree: 0.1605418622493744, Disagree: 0.08634337782859802, Strongly disagree: 0.08089786767959595
Index: 12, Strongly agree: 0.6245086789131165, Agree: 0.33536115288734436, Disagree: 0.020859291777014732, Strongly disagree: 0.019270848482847214
Index: 13, Strongly disagree: 0.44041046500205994, Disagree: 0.3641585409641266, Strongly agree: 0.12284146994352341, Agree: 0.07258951663970947
Index: 14, Strongly disagree: 0.5629189014434814, Disagree: 0.3181457817554474, Strongly agree: 0.06748224794864655, Agree: 0.0514531135559082
Index: 15, Strongly disagree: 0.3660619556903839, Strongly agree: 0.24410666525363922, Disagree: 0.23493996262550354, Agree: 0.1548914611339569
Index: 16, Agree: 0.6774300932884216, Strongly agree: 0.29842206835746765, Disagree: 0.01370326243340969, Strongly disagree: 0.01044458243995905
Index: 17, Strongly disagree: 0.6596753597259521, Disagree: 0.27354758977890015, Strongly agree: 0.03696028143167496, Agree: 0.02981678396463394
Index: 18, Strongly disagree: 0.5384390354156494, Disagree: 0.2951480746269226, Strongly agree: 0.1103380024433136, Agree: 0.05607491731643677
Index: 19, Agree: 0.6951520442962646, Strongly agree: 0.29351431131362915, Disagree: 0.006218886002898216, Strongly disagree: 0.005114655010402203
Index: 20, Agree: 0.7052539587020874, Strongly agree: 0.2655118703842163, Disagree: 0.01704745925962925, Strongly disagree: 0.012186831794679165
Index: 21, Agree: 0.706795334815979, Strongly agree: 0.27563998103141785, Disagree: 0.009613501839339733, Strongly disagree: 0.00795111246407032
Index: 22, Strongly disagree: 0.5178943276405334, Disagree: 0.32713231444358826, Strongly agree: 0.11006935685873032, Agree: 0.04490403085947037
Index: 23, Strongly agree: 0.5217728018760681, Agree: 0.4710333049297333, Strongly disagree: 0.0038459263741970062, Disagree: 0.003347966354340315
Index: 24, Strongly agree: 0.4560736417770386, Disagree: 0.21332871913909912, Strongly disagree: 0.1952543705701828, Agree: 0.1353432983160019
Index: 25, Strongly agree: 0.36344966292381287, Strongly disagree: 0.3146511912345886, Disagree: 0.2111407369375229, Agree: 0.11075844615697861
Index: 26, Disagree: 0.5697078108787537, Strongly disagree: 0.41401901841163635, Agree: 0.009038086980581284, Strongly agree: 0.0072350515983998775
Index: 27, Strongly agree: 0.4352496862411499, Agree: 0.40883004665374756, Disagree: 0.08651592582464218, Strongly disagree: 0.06940437853336334
Index: 28, Strongly disagree: 0.744600236415863, Disagree: 0.20461465418338776, Strongly agree: 0.03479820489883423, Agree: 0.015986913815140724
Index: 29, Agree: 0.611342191696167, Strongly agree: 0.37035560607910156, Strongly disagree: 0.00995173305273056, Disagree: 0.008350515738129616
Index: 30, Agree: 0.7057145833969116, Strongly agree: 0.279113233089447, Disagree: 0.008308923803269863, Strongly disagree: 0.006863318849354982
Index: 31, Agree: 0.744951069355011, Strongly agree: 0.23859985172748566, Disagree: 0.009349326603114605, Strongly disagree: 0.007099801674485207
Index: 32, Strongly disagree: 0.5175509452819824, Disagree: 0.3483964204788208, Strongly agree: 0.06837312877178192, Agree: 0.06567946821451187
Index: 33, Strongly agree: 0.43451476097106934, Disagree: 0.2506941258907318, Agree: 0.20660418272018433, Strongly disagree: 0.10818690061569214
Index: 34, Strongly agree: 0.37699878215789795, Strongly disagree: 0.22913065552711487, Agree: 0.1994091123342514, Disagree: 0.19446147978305817
Index: 35, Strongly disagree: 0.47919419407844543, Disagree: 0.32007789611816406, Strongly agree: 0.10799845308065414, Agree: 0.09272947907447815
Index: 36, Strongly agree: 0.47334200143814087, Agree: 0.3008854389190674, Disagree: 0.14143815636634827, Strongly disagree: 0.0843343436717987
Index: 37, Strongly disagree: 0.592689573764801, Disagree: 0.2754940688610077, Strongly agree: 0.07095782458782196, Agree: 0.060858555138111115
Index: 38, Strongly agree: 0.5466026663780212, Agree: 0.43475601077079773, Strongly disagree: 0.009956911206245422, Disagree: 0.008684428408741951
Index: 39, Strongly disagree: 0.45345446467399597, Disagree: 0.4189872145652771, Strongly agree: 0.06922713667154312, Agree: 0.058331266045570374
Index: 40, Strongly disagree: 0.6079711318016052, Disagree: 0.22968436777591705, Strongly agree: 0.11224502325057983, Agree: 0.050099510699510574
Index: 41, Strongly disagree: 0.6193364262580872, Disagree: 0.23693343997001648, Strongly agree: 0.1003764271736145, Agree: 0.04335365444421768
Index: 42, Agree: 0.7278749346733093, Strongly agree: 0.24631163477897644, Disagree: 0.014210567809641361, Strongly disagree: 0.011602859944105148
Index: 43, Strongly disagree: 0.5052973031997681, Disagree: 0.3153981566429138, Strongly agree: 0.11343798786401749, Agree: 0.06586658954620361
Index: 44, Strongly disagree: 0.6566209197044373, Disagree: 0.2739478349685669, Strongly agree: 0.0411856584250927, Agree: 0.028245626017451286
Index: 45, Strongly disagree: 0.4168602228164673, Disagree: 0.3633227050304413, Strongly agree: 0.14487490057945251, Agree: 0.07494216412305832
Index: 46, Agree: 0.6425533294677734, Strongly agree: 0.3444792330265045, Strongly disagree: 0.006658365484327078, Disagree: 0.0063090999610722065
Index: 47, Agree: 0.7517276406288147, Strongly agree: 0.2121373414993286, Disagree: 0.02078036032617092, Strongly disagree: 0.015354675240814686
Index: 48, Agree: 0.7092957496643066, Strongly agree: 0.2637374997138977, Disagree: 0.01457749493420124, Strongly disagree: 0.01238918025046587
Index: 49, Agree: 0.48028361797332764, Strongly agree: 0.4186694920063019, Strongly disagree: 0.05445483699440956, Disagree: 0.04659200832247734
Index: 50, Strongly disagree: 0.5521870255470276, Disagree: 0.2750150263309479, Strongly agree: 0.13214129209518433, Agree: 0.040656670928001404
Index: 51, Agree: 0.7359371781349182, Strongly agree: 0.25700825452804565, Disagree: 0.003710119053721428, Strongly disagree: 0.0033444270957261324
Index: 52, Strongly disagree: 0.5928688645362854, Disagree: 0.313614159822464, Strongly agree: 0.04825584962964058, Agree: 0.045261088758707047
Index: 53, Strongly disagree: 0.42627930641174316, Disagree: 0.2814233899116516, Strongly agree: 0.16352248191833496, Agree: 0.12877479195594788
Index: 54, Agree: 0.6451082229614258, Strongly agree: 0.33225587010383606, Disagree: 0.012629806995391846, Strongly disagree: 0.01000616978853941
Index: 55, Agree: 0.6624440550804138, Strongly agree: 0.30042514204978943, Disagree: 0.019890043884515762, Strongly disagree: 0.01724068820476532
Index: 56, Strongly agree: 0.49871063232421875, Agree: 0.49202242493629456, Strongly disagree: 0.004745647311210632, Disagree: 0.0045212567783892155
Index: 57, Strongly disagree: 0.5049408078193665, Disagree: 0.29782193899154663, Strongly agree: 0.13229615986347198, Agree: 0.06494108587503433
Index: 58, Strongly disagree: 0.36488473415374756, Strongly agree: 0.2992185652256012, Disagree: 0.20470231771469116, Agree: 0.1311943680047989
Index: 59, Agree: 0.7146509885787964, Strongly agree: 0.256670206785202, Strongly disagree: 0.014658327214419842, Disagree: 0.014020518399775028
Index: 60, Strongly disagree: 0.5139631628990173, Disagree: 0.26437869668006897, Agree: 0.1272415667772293, Strongly agree: 0.09441662579774857
Index: 61, Strongly agree: 0.5454373359680176, Agree: 0.44313767552375793, Strongly disagree: 0.006294289603829384, Disagree: 0.00513069611042738
Index: 62, Disagree: 0.37207305431365967, Strongly disagree: 0.3112998902797699, Strongly agree: 0.2237018644809723, Agree: 0.09292522817850113
