Index: 1, Strongly disagree: 0.28214550018310547, Strongly agree: 0.2605895400047302, Disagree: 0.2550415098667145, Agree: 0.20222347974777222
Index: 2, Strongly disagree: 0.577092707157135, Disagree: 0.17984223365783691, Strongly agree: 0.1736171692609787, Agree: 0.06944792717695236
Index: 3, Strongly disagree: 0.4936617314815521, Disagree: 0.2419956624507904, Strongly agree: 0.1666916310787201, Agree: 0.09765097498893738
Index: 4, Strongly disagree: 0.619987964630127, Disagree: 0.25606945157051086, Strongly agree: 0.07051701843738556, Agree: 0.05342559516429901
Index: 5, Strongly disagree: 0.3794575035572052, Disagree: 0.2839782238006592, Agree: 0.18456019461154938, Strongly agree: 0.15200409293174744
Index: 6, Strongly disagree: 0.4205476641654968, Disagree: 0.21903418004512787, Strongly agree: 0.20346218347549438, Agree: 0.15695597231388092
Index: 7, Strongly disagree: 0.38951417803764343, Strongly agree: 0.28899750113487244, Agree: 0.168856680393219, Disagree: 0.15263168513774872
Index: 8, Strongly disagree: 0.4682776629924774, Disagree: 0.25422123074531555, Strongly agree: 0.186514213681221, Agree: 0.09098685532808304
Index: 9, Strongly disagree: 0.46647390723228455, Disagree: 0.24802273511886597, Strongly agree: 0.16724853217601776, Agree: 0.11825481802225113
Index: 10, Strongly disagree: 0.3708552122116089, Disagree: 0.30007031559944153, Strongly agree: 0.20485974848270416, Agree: 0.12421475350856781
Index: 11, Strongly agree: 0.3358379900455475, Strongly disagree: 0.268218457698822, Agree: 0.21319527924060822, Disagree: 0.18274828791618347
Index: 12, Strongly disagree: 0.465433806180954, Disagree: 0.28591835498809814, Strongly agree: 0.1498965471982956, Agree: 0.09875130653381348
Index: 13, Strongly disagree: 0.32351455092430115, Strongly agree: 0.30068492889404297, Agree: 0.19291837513446808, Disagree: 0.18288204073905945
Index: 14, Strongly disagree: 0.43729037046432495, Strongly agree: 0.2039981484413147, Disagree: 0.20304329693317413, Agree: 0.15566818416118622
Index: 15, Strongly disagree: 0.37903085350990295, Strongly agree: 0.25989705324172974, Disagree: 0.19902822375297546, Agree: 0.16204388439655304
Index: 16, Disagree: 0.3688197135925293, Strongly disagree: 0.3369820713996887, Agree: 0.15684273838996887, Strongly agree: 0.1373554766178131
Index: 17, Strongly disagree: 0.5270888805389404, Strongly agree: 0.20088909566402435, Disagree: 0.19252261519432068, Agree: 0.07949944585561752
Index: 18, Strongly disagree: 0.4576737582683563, Disagree: 0.3031091094017029, Strongly agree: 0.13461697101593018, Agree: 0.10460007935762405
Index: 19, Strongly disagree: 0.5351026654243469, Disagree: 0.30453741550445557, Strongly agree: 0.10347169637680054, Agree: 0.05688827112317085
Index: 20, Strongly disagree: 0.3886205554008484, Disagree: 0.2729654014110565, Agree: 0.17180824279785156, Strongly agree: 0.16660574078559875
Index: 21, Strongly disagree: 0.4389735460281372, Disagree: 0.26104936003685, Strongly agree: 0.21119284629821777, Agree: 0.08878426253795624
Index: 22, Strongly disagree: 0.5139157176017761, Disagree: 0.23742416501045227, Strongly agree: 0.16998107731342316, Agree: 0.07867904007434845
Index: 23, Strongly disagree: 0.30960583686828613, Strongly agree: 0.28478488326072693, Disagree: 0.2817961871623993, Agree: 0.12381305545568466
Index: 24, Strongly disagree: 0.4077078104019165, Disagree: 0.29861021041870117, Strongly agree: 0.17357994616031647, Agree: 0.12010203301906586
Index: 25, Strongly disagree: 0.42639070749282837, Strongly agree: 0.2957727313041687, Disagree: 0.15338978171348572, Agree: 0.124446801841259
Index: 26, Strongly disagree: 0.40927332639694214, Disagree: 0.2858021855354309, Strongly agree: 0.15415456891059875, Agree: 0.15076985955238342
Index: 27, Strongly disagree: 0.5267060399055481, Disagree: 0.28296440839767456, Strongly agree: 0.11511393636465073, Agree: 0.07521560043096542
Index: 28, Disagree: 0.4679858386516571, Strongly disagree: 0.4650214910507202, Strongly agree: 0.041016239672899246, Agree: 0.02597644366323948
Index: 29, Disagree: 0.3593060076236725, Strongly disagree: 0.3592696785926819, Strongly agree: 0.1636926382780075, Agree: 0.11773164570331573
Index: 30, Strongly disagree: 0.45771080255508423, Disagree: 0.2421378791332245, Strongly agree: 0.19115477800369263, Agree: 0.10899653285741806
Index: 31, Strongly disagree: 0.3422453999519348, Disagree: 0.3401110768318176, Strongly agree: 0.16900604963302612, Agree: 0.14863751828670502
Index: 32, Strongly disagree: 0.41872382164001465, Disagree: 0.220369353890419, Strongly agree: 0.21495971083641052, Agree: 0.14594706892967224
Index: 33, Strongly disagree: 0.45500585436820984, Disagree: 0.3530113101005554, Strongly agree: 0.11204149574041367, Agree: 0.07994137704372406
Index: 34, Strongly agree: 0.37795984745025635, Strongly disagree: 0.26792097091674805, Disagree: 0.1987367421388626, Agree: 0.15538246929645538
Index: 35, Strongly disagree: 0.5294262170791626, Disagree: 0.327239453792572, Strongly agree: 0.08447105437517166, Agree: 0.05886328965425491
Index: 36, Strongly disagree: 0.4210812449455261, Disagree: 0.4156542718410492, Strongly agree: 0.10107595473527908, Agree: 0.06218855082988739
Index: 37, Strongly disagree: 0.4221533536911011, Disagree: 0.25219255685806274, Strongly agree: 0.21353839337825775, Agree: 0.11211571097373962
Index: 38, Strongly disagree: 0.5321526527404785, Disagree: 0.2671995460987091, Strongly agree: 0.13348472118377686, Agree: 0.06716308742761612
Index: 39, Strongly disagree: 0.4136285185813904, Disagree: 0.27014896273612976, Strongly agree: 0.2202986180782318, Agree: 0.09592388570308685
Index: 40, Strongly disagree: 0.4873931109905243, Disagree: 0.2577687203884125, Strongly agree: 0.16833701729774475, Agree: 0.08650116622447968
Index: 41, Strongly disagree: 0.3641388416290283, Strongly agree: 0.3350771963596344, Disagree: 0.17564131319522858, Agree: 0.12514260411262512
Index: 42, Strongly disagree: 0.3816105127334595, Strongly agree: 0.24073472619056702, Disagree: 0.21866919100284576, Agree: 0.15898557007312775
Index: 43, Strongly disagree: 0.6011413931846619, Disagree: 0.21154212951660156, Strongly agree: 0.12284526228904724, Agree: 0.06447118520736694
Index: 44, Strongly disagree: 0.5617543458938599, Disagree: 0.22952112555503845, Strongly agree: 0.1391616016626358, Agree: 0.06956283748149872
Index: 45, Strongly disagree: 0.5104180574417114, Disagree: 0.2630934715270996, Strongly agree: 0.15840715169906616, Agree: 0.0680813193321228
Index: 46, Strongly disagree: 0.42005571722984314, Disagree: 0.3027927279472351, Strongly agree: 0.14392365515232086, Agree: 0.1332278996706009
Index: 47, Strongly disagree: 0.5857668519020081, Disagree: 0.2582607865333557, Strongly agree: 0.09115119278430939, Agree: 0.06482112407684326
Index: 48, Strongly disagree: 0.5843797922134399, Disagree: 0.1961614042520523, Strongly agree: 0.1512194573879242, Agree: 0.06823933124542236
Index: 49, Strongly disagree: 0.5278330445289612, Disagree: 0.2959236204624176, Strongly agree: 0.11605967581272125, Agree: 0.060183607041835785
Index: 50, Strongly disagree: 0.3658224642276764, Disagree: 0.2399822473526001, Strongly agree: 0.23737409710884094, Agree: 0.15682122111320496
