Index: 1, Strongly agree: 0.6195046901702881, Agree: 0.33730122447013855, Disagree: 0.022625742480158806, Strongly disagree: 0.020568333566188812
Index: 2, Strongly disagree: 0.5901278853416443, Disagree: 0.2804207503795624, Strongly agree: 0.08703115582466125, Agree: 0.04242020472884178
Index: 3, Strongly disagree: 0.476855993270874, Disagree: 0.332337886095047, Strongly agree: 0.11405628174543381, Agree: 0.07674982398748398
Index: 4, Strongly disagree: 0.5388150811195374, Disagree: 0.286556214094162, Strongly agree: 0.1110362708568573, Agree: 0.06359244138002396
Index: 5, Strongly disagree: 0.3591729700565338, Disagree: 0.27706798911094666, Strongly agree: 0.20353248715400696, Agree: 0.1602264940738678
Index: 6, Strongly disagree: 0.43472734093666077, Disagree: 0.26786163449287415, Strongly agree: 0.17157429456710815, Agree: 0.1258367896080017
Index: 7, Strongly agree: 0.34583836793899536, Disagree: 0.31219372153282166, Agree: 0.1713455617427826, Strongly disagree: 0.1706223338842392
Index: 8, Strongly disagree: 0.3525046706199646, Disagree: 0.2777685523033142, Strongly agree: 0.19855554401874542, Agree: 0.171171173453331
Index: 9, Strongly disagree: 0.3681662380695343, Disagree: 0.3055926263332367, Strongly agree: 0.16836367547512054, Agree: 0.15787741541862488
Index: 10, Strongly disagree: 0.36617404222488403, Strongly agree: 0.3038639724254608, Disagree: 0.18557783961296082, Agree: 0.14438414573669434
Index: 11, Strongly disagree: 0.3167763352394104, Strongly agree: 0.2936614453792572, Disagree: 0.22285449504852295, Agree: 0.16670776903629303
Index: 12, Strongly disagree: 0.3047531545162201, Strongly agree: 0.28244152665138245, Disagree: 0.24175435304641724, Agree: 0.171051025390625
Index: 13, Strongly disagree: 0.44702279567718506, Disagree: 0.23930911719799042, Strongly agree: 0.18268966674804688, Agree: 0.13097846508026123
Index: 14, Strongly disagree: 0.4978971481323242, Disagree: 0.29653531312942505, Strongly agree: 0.11747106909751892, Agree: 0.08809643983840942
Index: 15, Strongly disagree: 0.5195543169975281, Disagree: 0.2950274646282196, Strongly agree: 0.11719044297933578, Agree: 0.06822771579027176
Index: 16, Strongly disagree: 0.49501675367355347, Disagree: 0.22395509481430054, Strongly agree: 0.2037411630153656, Agree: 0.07728701829910278
Index: 17, Strongly disagree: 0.4931383430957794, Disagree: 0.3751499652862549, Strongly agree: 0.08610951900482178, Agree: 0.045602165162563324
Index: 18, Strongly disagree: 0.503851592540741, Disagree: 0.3138340413570404, Strongly agree: 0.10279834270477295, Agree: 0.07951608300209045
Index: 19, Strongly disagree: 0.46000534296035767, Disagree: 0.3032723367214203, Strongly agree: 0.14793024957180023, Agree: 0.08879202604293823
Index: 20, Strongly agree: 0.4026353061199188, Disagree: 0.23299548029899597, Agree: 0.19906112551689148, Strongly disagree: 0.16530807316303253
Index: 21, Strongly agree: 0.43904051184654236, Agree: 0.2525303065776825, Strongly disagree: 0.2283378541469574, Disagree: 0.08009131997823715
Index: 22, Strongly disagree: 0.5082316994667053, Disagree: 0.3006024956703186, Strongly agree: 0.10442303866147995, Agree: 0.08674278855323792
Index: 23, Strongly disagree: 0.3239896893501282, Strongly agree: 0.2925441563129425, Disagree: 0.27575594186782837, Agree: 0.10771020501852036
Index: 24, Strongly disagree: 0.5284473896026611, Disagree: 0.25439441204071045, Strongly agree: 0.1422569453716278, Agree: 0.07490123063325882
Index: 25, Strongly disagree: 0.4162498712539673, Strongly agree: 0.2831091582775116, Agree: 0.15361282229423523, Disagree: 0.1470281481742859
Index: 26, Strongly disagree: 0.33975881338119507, Disagree: 0.23208655416965485, Strongly agree: 0.226802259683609, Agree: 0.20135237276554108
Index: 27, Strongly disagree: 0.45230284333229065, Disagree: 0.2956791818141937, Strongly agree: 0.16775605082511902, Agree: 0.0842619240283966
Index: 28, Strongly disagree: 0.6106187701225281, Disagree: 0.3114055395126343, Strongly agree: 0.04393406957387924, Agree: 0.03404157981276512
Index: 29, Agree: 0.48352715373039246, Strongly agree: 0.3226081132888794, Strongly disagree: 0.11989916115999222, Disagree: 0.0739656388759613
Index: 30, Strongly disagree: 0.44923537969589233, Disagree: 0.30999404191970825, Strongly agree: 0.12995438277721405, Agree: 0.11081616580486298
Index: 31, Strongly disagree: 0.3659488558769226, Disagree: 0.2523476183414459, Strongly agree: 0.22965790331363678, Agree: 0.1520456224679947
Index: 32, Strongly disagree: 0.5027214884757996, Disagree: 0.226811483502388, Strongly agree: 0.1760992705821991, Agree: 0.09436775743961334
Index: 33, Disagree: 0.4312087297439575, Strongly disagree: 0.42684000730514526, Strongly agree: 0.08811246603727341, Agree: 0.05383871868252754
Index: 34, Strongly disagree: 0.4822643995285034, Disagree: 0.26959970593452454, Strongly agree: 0.1616736501455307, Agree: 0.08646225929260254
Index: 35, Strongly disagree: 0.5106027722358704, Disagree: 0.2860352098941803, Strongly agree: 0.13482427597045898, Agree: 0.06853774935007095
Index: 36, Strongly disagree: 0.45109736919403076, Disagree: 0.3308451771736145, Strongly agree: 0.14477716386318207, Agree: 0.07328030467033386
Index: 37, Strongly disagree: 0.46072492003440857, Disagree: 0.28498268127441406, Strongly agree: 0.15749680995941162, Agree: 0.09679556638002396
