Index: 1, Strongly agree: 0.36104682087898254, Agree: 0.22622251510620117, Strongly disagree: 0.22095467150211334, Disagree: 0.19177600741386414
Index: 2, Strongly agree: 0.36909544467926025, Strongly disagree: 0.2913673222064972, Disagree: 0.2128368318080902, Agree: 0.1267004758119583
Index: 3, Strongly disagree: 0.4543047547340393, Strongly agree: 0.22713832557201385, Disagree: 0.17630884051322937, Agree: 0.1422480195760727
Index: 4, Strongly disagree: 0.4466812312602997, Disagree: 0.30318179726600647, Strongly agree: 0.15717165172100067, Agree: 0.09296528249979019
Index: 5, Strongly agree: 0.38322776556015015, Disagree: 0.2160351425409317, Agree: 0.20170442759990692, Strongly disagree: 0.19903264939785004
Index: 6, Disagree: 0.3183039128780365, Strongly disagree: 0.24720953404903412, Agree: 0.23391486704349518, Strongly agree: 0.20057162642478943
Index: 7, Strongly disagree: 0.28931868076324463, Disagree: 0.2822554409503937, Strongly agree: 0.21763388812541962, Agree: 0.2107919603586197
Index: 8, Strongly disagree: 0.4123111963272095, Disagree: 0.2544528543949127, Strongly agree: 0.21994753181934357, Agree: 0.11328837275505066
Index: 9, Strongly disagree: 0.47699370980262756, Strongly agree: 0.21118150651454926, Disagree: 0.20140057802200317, Agree: 0.11042420566082001
Index: 10, Strongly agree: 0.5925114154815674, Agree: 0.21366409957408905, Strongly disagree: 0.11904004961252213, Disagree: 0.07478434592485428
Index: 11, Strongly agree: 0.5105518698692322, Strongly disagree: 0.18403784930706024, Agree: 0.1751604825258255, Disagree: 0.13024981319904327
Index: 12, Strongly disagree: 0.30279430747032166, Strongly agree: 0.29626357555389404, Disagree: 0.27571722865104675, Agree: 0.12522487342357635
Index: 13, Strongly disagree: 0.40110835433006287, Strongly agree: 0.26753637194633484, Disagree: 0.18643443286418915, Agree: 0.14492087066173553
Index: 14, Strongly agree: 0.34576645493507385, Strongly disagree: 0.26677221059799194, Agree: 0.20195713639259338, Disagree: 0.18550421297550201
Index: 15, Strongly agree: 0.391453355550766, Strongly disagree: 0.27814415097236633, Agree: 0.17790144681930542, Disagree: 0.15250101685523987
Index: 16, Strongly disagree: 0.31101009249687195, Disagree: 0.3057694137096405, Strongly agree: 0.20179475843906403, Agree: 0.18142570555210114
Index: 17, Strongly disagree: 0.3930320739746094, Disagree: 0.22546112537384033, Strongly agree: 0.20925135910511017, Agree: 0.17225538194179535
Index: 18, Strongly disagree: 0.42446067929267883, Disagree: 0.27797016501426697, Strongly agree: 0.18774589896202087, Agree: 0.10982326418161392
Index: 19, Strongly disagree: 0.48429057002067566, Disagree: 0.3143366575241089, Strongly agree: 0.13520841300487518, Agree: 0.06616442650556564
Index: 20, Strongly agree: 0.4030998647212982, Strongly disagree: 0.22244134545326233, Agree: 0.19360491633415222, Disagree: 0.18085384368896484
Index: 21, Strongly disagree: 0.44056329131126404, Disagree: 0.24039258062839508, Strongly agree: 0.1998840868473053, Agree: 0.11916003376245499
Index: 22, Strongly disagree: 0.5207669734954834, Strongly agree: 0.20438531041145325, Disagree: 0.20144708454608917, Agree: 0.07340069115161896
Index: 23, Strongly disagree: 0.3165512979030609, Disagree: 0.261467844247818, Strongly agree: 0.22531956434249878, Agree: 0.19666126370429993
Index: 24, Strongly disagree: 0.34317222237586975, Disagree: 0.32804742455482483, Strongly agree: 0.1907801628112793, Agree: 0.13800014555454254
Index: 25, Strongly disagree: 0.4070640802383423, Strongly agree: 0.27223238348960876, Disagree: 0.17420294880867004, Agree: 0.1465006172657013
Index: 26, Disagree: 0.424888014793396, Strongly disagree: 0.3442114591598511, Strongly agree: 0.12515413761138916, Agree: 0.10574639588594437
Index: 27, Strongly disagree: 0.35223469138145447, Disagree: 0.34146445989608765, Strongly agree: 0.22908274829387665, Agree: 0.07721810042858124
Index: 28, Disagree: 0.5032454133033752, Strongly disagree: 0.3685799539089203, Agree: 0.07091134041547775, Strongly agree: 0.05726331099867821
Index: 29, Strongly agree: 0.28316643834114075, Strongly disagree: 0.2783173620700836, Disagree: 0.2643798291683197, Agree: 0.1741364300251007
Index: 30, Strongly disagree: 0.32990241050720215, Disagree: 0.312050998210907, Strongly agree: 0.18538613617420197, Agree: 0.1726604551076889
Index: 31, Strongly disagree: 0.40706130862236023, Disagree: 0.28422999382019043, Strongly agree: 0.19756080210208893, Agree: 0.11114790290594101
Index: 32, Strongly disagree: 0.5695162415504456, Disagree: 0.19859686493873596, Strongly agree: 0.13934582471847534, Agree: 0.09254106879234314
Index: 33, Strongly disagree: 0.32330575585365295, Disagree: 0.3196098208427429, Strongly agree: 0.19870218634605408, Agree: 0.15838217735290527
Index: 34, Strongly disagree: 0.3736417591571808, Disagree: 0.2862820327281952, Strongly agree: 0.22557833790779114, Agree: 0.11449778079986572
Index: 35, Strongly disagree: 0.5478650331497192, Disagree: 0.24152281880378723, Strongly agree: 0.1646803766489029, Agree: 0.04593179374933243
Index: 36, Strongly agree: 0.5237525105476379, Agree: 0.45938974618911743, Disagree: 0.008793601766228676, Strongly disagree: 0.008064059540629387
Index: 37, Strongly disagree: 0.514811098575592, Disagree: 0.2751381993293762, Strongly agree: 0.13251465559005737, Agree: 0.07753607630729675
Index: 38, Strongly disagree: 0.41231048107147217, Disagree: 0.2759653925895691, Strongly agree: 0.2327488511800766, Agree: 0.07897528260946274
Index: 39, Disagree: 0.4339735805988312, Strongly disagree: 0.3307352364063263, Strongly agree: 0.12413625419139862, Agree: 0.1111549511551857
Index: 40, Strongly disagree: 0.4936785101890564, Disagree: 0.2718804180622101, Strongly agree: 0.15535782277584076, Agree: 0.07908331602811813
Index: 41, Strongly disagree: 0.35157209634780884, Disagree: 0.24009589850902557, Strongly agree: 0.2163577526807785, Agree: 0.19197425246238708
Index: 42, Strongly disagree: 0.3579578399658203, Strongly agree: 0.26740390062332153, Disagree: 0.23496855795383453, Agree: 0.13966968655586243
Index: 43, Strongly disagree: 0.3513367474079132, Disagree: 0.2946447730064392, Strongly agree: 0.21402139961719513, Agree: 0.13999703526496887
Index: 44, Strongly disagree: 0.42369088530540466, Disagree: 0.33303749561309814, Strongly agree: 0.15607620775699615, Agree: 0.08719538152217865
Index: 45, Strongly disagree: 0.495176762342453, Disagree: 0.3244006931781769, Strongly agree: 0.11246541142463684, Agree: 0.06795712560415268
Index: 46, Strongly disagree: 0.3727598488330841, Disagree: 0.2561675012111664, Strongly agree: 0.20739322900772095, Agree: 0.16367943584918976
Index: 47, Strongly disagree: 0.4091978967189789, Strongly agree: 0.2508889436721802, Disagree: 0.22471347451210022, Agree: 0.11519969999790192
Index: 48, Disagree: 0.48025235533714294, Strongly disagree: 0.2534487247467041, Agree: 0.13369742035865784, Strongly agree: 0.1326015591621399
Index: 49, Disagree: 0.34151965379714966, Strongly disagree: 0.31742072105407715, Strongly agree: 0.20112083852291107, Agree: 0.13993875682353973
Index: 50, Strongly agree: 0.33543825149536133, Strongly disagree: 0.2725788652896881, Agree: 0.21843288838863373, Disagree: 0.17354999482631683
Index: 51, Strongly agree: 0.38975656032562256, Disagree: 0.2358722686767578, Strongly disagree: 0.21911048889160156, Agree: 0.15526072680950165
Index: 52, Strongly disagree: 0.3734143078327179, Disagree: 0.2968319058418274, Strongly agree: 0.176974356174469, Agree: 0.1527794450521469
Index: 53, Strongly disagree: 0.4615376591682434, Disagree: 0.31280189752578735, Strongly agree: 0.15340107679367065, Agree: 0.07225938886404037
Index: 54, Disagree: 0.39507386088371277, Strongly disagree: 0.3364250361919403, Agree: 0.1383676528930664, Strongly agree: 0.1301334947347641
Index: 55, Strongly disagree: 0.3363454341888428, Disagree: 0.3205864131450653, Strongly agree: 0.19473135471343994, Agree: 0.1483367681503296
Index: 56, Strongly agree: 0.29879266023635864, Disagree: 0.29456427693367004, Strongly disagree: 0.22650983929634094, Agree: 0.18013319373130798
Index: 57, Strongly disagree: 0.4534066319465637, Disagree: 0.28714168071746826, Strongly agree: 0.13192032277584076, Agree: 0.12753139436244965
Index: 58, Strongly agree: 0.5429528951644897, Agree: 0.17220406234264374, Strongly disagree: 0.164869025349617, Disagree: 0.11997398734092712
Index: 59, Disagree: 0.3459385931491852, Agree: 0.24751384556293488, Strongly disagree: 0.23594023287296295, Strongly agree: 0.17060726881027222
