Index: 1, Strongly agree: 0.566409707069397, Agree: 0.3020687997341156, Strongly disagree: 0.0719040259718895, Disagree: 0.05961744859814644
Index: 2, Strongly agree: 0.6898301839828491, Agree: 0.21928036212921143, Strongly disagree: 0.06135039031505585, Disagree: 0.029539043083786964
Index: 3, Strongly agree: 0.4614851176738739, Agree: 0.2921959161758423, Strongly disagree: 0.17120899260044098, Disagree: 0.07510995119810104
Index: 4, Strongly disagree: 0.6685305237770081, Disagree: 0.24987390637397766, Strongly agree: 0.04444580525159836, Agree: 0.03714974224567413
Index: 5, Strongly disagree: 0.4315875470638275, Disagree: 0.2573833167552948, Strongly agree: 0.1662619560956955, Agree: 0.1447671800851822
Index: 6, Strongly disagree: 0.49918249249458313, Disagree: 0.3678811490535736, Strongly agree: 0.08060665428638458, Agree: 0.05232977122068405
Index: 7, Strongly disagree: 0.4744878113269806, Disagree: 0.34023943543434143, Strongly agree: 0.09652359783649445, Agree: 0.08874916285276413
Index: 8, Strongly agree: 0.38080236315727234, Agree: 0.3408019244670868, Strongly disagree: 0.17451439797878265, Disagree: 0.10388125479221344
Index: 9, Strongly agree: 0.45549476146698, Agree: 0.37174272537231445, Strongly disagree: 0.09186708927154541, Disagree: 0.08089537173509598
Index: 10, Strongly agree: 0.7484050393104553, Agree: 0.13505147397518158, Disagree: 0.06339417397975922, Strongly disagree: 0.05314928665757179
Index: 11, Strongly agree: 0.5258091688156128, Agree: 0.39788731932640076, Strongly disagree: 0.05720826983451843, Disagree: 0.019095202907919884
Index: 12, Strongly agree: 0.6027921438217163, Agree: 0.3235115706920624, Disagree: 0.043185364454984665, Strongly disagree: 0.030510980635881424
Index: 13, Strongly agree: 0.5720166563987732, Agree: 0.3633604347705841, Disagree: 0.032458119094371796, Strongly disagree: 0.032164767384529114
Index: 14, Strongly agree: 0.37693431973457336, Agree: 0.35997387766838074, Strongly disagree: 0.15799947082996368, Disagree: 0.10509233176708221
Index: 15, Agree: 0.3870334327220917, Strongly agree: 0.3694082200527191, Strongly disagree: 0.16627320647239685, Disagree: 0.07728515565395355
Index: 16, Strongly agree: 0.49952179193496704, Disagree: 0.2079586535692215, Agree: 0.170429527759552, Strongly disagree: 0.12209006398916245
Index: 17, Strongly disagree: 0.49842947721481323, Disagree: 0.3259917199611664, Agree: 0.10333983600139618, Strongly agree: 0.07223895192146301
Index: 18, Strongly agree: 0.337904691696167, Agree: 0.2999570369720459, Strongly disagree: 0.2411620169878006, Disagree: 0.12097620964050293
Index: 19, Strongly agree: 0.49159446358680725, Strongly disagree: 0.20028206706047058, Disagree: 0.15967410802841187, Agree: 0.1484493464231491
Index: 20, Strongly agree: 0.5359167456626892, Agree: 0.28418228030204773, Strongly disagree: 0.1370251327753067, Disagree: 0.042875923216342926
