Index: 1, Strongly disagree: 0.32016855478286743, Disagree: 0.2955329418182373, Strongly agree: 0.28071630001068115, Agree: 0.10358217358589172
Index: 2, Agree: 0.3185172975063324, Strongly agree: 0.2926526963710785, Disagree: 0.2301802635192871, Strongly disagree: 0.15864983201026917
Index: 3, Disagree: 0.38649898767471313, Strongly disagree: 0.3300865590572357, Strongly agree: 0.17220690846443176, Agree: 0.11120752990245819
Index: 4, Disagree: 0.45633596181869507, Strongly disagree: 0.3841695189476013, Strongly agree: 0.08803988993167877, Agree: 0.07145464420318604
Index: 5, Strongly disagree: 0.5256677269935608, Disagree: 0.38836410641670227, Strongly agree: 0.06220099329948425, Agree: 0.023767119273543358
Index: 6, Strongly agree: 0.3682916760444641, Agree: 0.22057409584522247, Disagree: 0.20881810784339905, Strongly disagree: 0.20231612026691437
Index: 7, Strongly agree: 0.5391778945922852, Agree: 0.34775540232658386, Strongly disagree: 0.0667383223772049, Disagree: 0.046328380703926086
Index: 8, Strongly disagree: 0.4639768898487091, Disagree: 0.3717677891254425, Strongly agree: 0.09254004806280136, Agree: 0.07171527296304703
Index: 9, Strongly agree: 0.3773414194583893, Strongly disagree: 0.26803991198539734, Agree: 0.1828920990228653, Disagree: 0.1717265099287033
Index: 10, Strongly agree: 0.7945169806480408, Agree: 0.16345219314098358, Strongly disagree: 0.02501707337796688, Disagree: 0.017013734206557274
Index: 11, Strongly disagree: 0.5440084934234619, Disagree: 0.27724602818489075, Strongly agree: 0.12438666820526123, Agree: 0.05435881391167641
Index: 12, Disagree: 0.4126977026462555, Strongly disagree: 0.21952059864997864, Agree: 0.19269903004169464, Strongly agree: 0.17508269846439362
Index: 13, Strongly disagree: 0.5043904185295105, Disagree: 0.33212101459503174, Strongly agree: 0.11170436441898346, Agree: 0.051784269511699677
Index: 14, Strongly disagree: 0.34873050451278687, Disagree: 0.3187718391418457, Strongly agree: 0.1747140884399414, Agree: 0.15778350830078125
Index: 15, Strongly disagree: 0.4038656949996948, Disagree: 0.30659517645835876, Agree: 0.16488435864448547, Strongly agree: 0.12465478479862213
Index: 16, Strongly agree: 0.4085913300514221, Disagree: 0.2421250194311142, Strongly disagree: 0.23682382702827454, Agree: 0.11245982348918915
Index: 17, Strongly disagree: 0.4168276786804199, Disagree: 0.31080111861228943, Strongly agree: 0.18917390704154968, Agree: 0.08319729566574097
Index: 18, Strongly agree: 0.5493156313896179, Agree: 0.1944219172000885, Disagree: 0.1683647781610489, Strongly disagree: 0.08789766579866409
Index: 19, Strongly disagree: 0.45971307158470154, Disagree: 0.28053414821624756, Strongly agree: 0.22029602527618408, Agree: 0.039456747472286224
Index: 20, Strongly disagree: 0.39142829179763794, Disagree: 0.36010685563087463, Strongly agree: 0.16637440025806427, Agree: 0.08209044486284256
Index: 21, Strongly agree: 0.3314056396484375, Strongly disagree: 0.3282281756401062, Agree: 0.180889293551445, Disagree: 0.1594768464565277
Index: 22, Agree: 0.34222012758255005, Strongly agree: 0.25527504086494446, Disagree: 0.21426375210285187, Strongly disagree: 0.18824107944965363
Index: 23, Strongly disagree: 0.5125623345375061, Disagree: 0.24904660880565643, Strongly agree: 0.17822380363941193, Agree: 0.06016727536916733
Index: 24, Strongly agree: 0.6539722681045532, Agree: 0.3298409581184387, Strongly disagree: 0.011182968504726887, Disagree: 0.00500374473631382
Index: 25, Strongly agree: 0.7340142130851746, Agree: 0.23620666563510895, Strongly disagree: 0.022739360108971596, Disagree: 0.007039797492325306
Index: 26, Strongly disagree: 0.42970728874206543, Disagree: 0.38597384095191956, Strongly agree: 0.11781401187181473, Agree: 0.06650487333536148
Index: 27, Disagree: 0.4357181787490845, Strongly disagree: 0.2809126675128937, Agree: 0.18165621161460876, Strongly agree: 0.1017129123210907
Index: 28, Strongly disagree: 0.5050303936004639, Disagree: 0.2977893650531769, Strongly agree: 0.1370006650686264, Agree: 0.06017959117889404
Index: 29, Strongly agree: 0.44326043128967285, Agree: 0.3709113597869873, Strongly disagree: 0.09582579880952835, Disagree: 0.09000235795974731
Index: 30, Strongly agree: 0.2913750112056732, Agree: 0.29106995463371277, Strongly disagree: 0.22154027223587036, Disagree: 0.19601474702358246
Index: 31, Strongly disagree: 0.41687870025634766, Strongly agree: 0.23688359558582306, Disagree: 0.19338840246200562, Agree: 0.15284930169582367
Index: 32, Strongly disagree: 0.4632098972797394, Disagree: 0.25522321462631226, Strongly agree: 0.17367593944072723, Agree: 0.10789090394973755
Index: 33, Strongly disagree: 0.3544665277004242, Disagree: 0.3538260757923126, Strongly agree: 0.20647825300693512, Agree: 0.08522920310497284
Index: 34, Disagree: 0.42518162727355957, Strongly disagree: 0.39654216170310974, Strongly agree: 0.1094033271074295, Agree: 0.06887287646532059
Index: 35, Strongly disagree: 0.5495267510414124, Disagree: 0.34035566449165344, Strongly agree: 0.07776780426502228, Agree: 0.032349735498428345
