Index: 1, Strongly agree: 0.41777947545051575, Disagree: 0.2275102585554123, Agree: 0.18152593076229095, Strongly disagree: 0.173184335231781
Index: 2, Strongly agree: 0.36928173899650574, Disagree: 0.2527695596218109, Strongly disagree: 0.21803192794322968, Agree: 0.15991681814193726
Index: 3, Strongly disagree: 0.5880239009857178, Disagree: 0.2238626331090927, Strongly agree: 0.13057108223438263, Agree: 0.05754242092370987
Index: 4, Strongly disagree: 0.5201422572135925, Disagree: 0.29089751839637756, Strongly agree: 0.12045320123434067, Agree: 0.06850700825452805
Index: 5, Strongly disagree: 0.30695730447769165, Disagree: 0.24112339317798615, Strongly agree: 0.2346421182155609, Agree: 0.21727719902992249
Index: 6, Disagree: 0.8476560711860657, Strongly disagree: 0.12856869399547577, Strongly agree: 0.012859899550676346, Agree: 0.010915335267782211
Index: 7, Strongly disagree: 0.40050527453422546, Disagree: 0.31297004222869873, Strongly agree: 0.20547746121883392, Agree: 0.08104723691940308
Index: 8, Strongly agree: 0.5616322755813599, Agree: 0.18389558792114258, Disagree: 0.12952545285224915, Strongly disagree: 0.12494673579931259
Index: 9, Strongly disagree: 0.4845879077911377, Disagree: 0.3957870602607727, Strongly agree: 0.06783853471279144, Agree: 0.05178646743297577
Index: 10, Strongly disagree: 0.37822097539901733, Strongly agree: 0.2844361960887909, Disagree: 0.2549223005771637, Agree: 0.08242056518793106
Index: 11, Strongly agree: 0.5522396564483643, Agree: 0.4087293744087219, Strongly disagree: 0.02032674290239811, Disagree: 0.018704215064644814
Index: 12, Strongly agree: 0.4350281059741974, Agree: 0.2232827991247177, Disagree: 0.18280944228172302, Strongly disagree: 0.15887963771820068
Index: 13, Strongly disagree: 0.38868704438209534, Disagree: 0.3824453353881836, Strongly agree: 0.1541193574666977, Agree: 0.07474825531244278
Index: 14, Strongly disagree: 0.49889907240867615, Disagree: 0.36204227805137634, Strongly agree: 0.07864176481962204, Agree: 0.06041688099503517
Index: 15, Strongly disagree: 0.4101508855819702, Disagree: 0.3690583109855652, Strongly agree: 0.13576799631118774, Agree: 0.08502283692359924
Index: 16, Disagree: 0.36990106105804443, Strongly agree: 0.2889721691608429, Agree: 0.20845717191696167, Strongly disagree: 0.13266952335834503
Index: 17, Strongly disagree: 0.43941718339920044, Disagree: 0.21675561368465424, Strongly agree: 0.1915702372789383, Agree: 0.15225692093372345
Index: 18, Strongly disagree: 0.3669070303440094, Disagree: 0.27789294719696045, Strongly agree: 0.2137615829706192, Agree: 0.14143843948841095
Index: 19, Strongly disagree: 0.45544561743736267, Disagree: 0.3445558547973633, Strongly agree: 0.129849374294281, Agree: 0.07014910876750946
Index: 20, Strongly agree: 0.6533945202827454, Agree: 0.32752037048339844, Strongly disagree: 0.010623306035995483, Disagree: 0.008461873047053814
Index: 21, Disagree: 0.3700481951236725, Strongly disagree: 0.32924437522888184, Strongly agree: 0.1866781860589981, Agree: 0.11402923613786697
Index: 22, Strongly disagree: 0.5707399845123291, Disagree: 0.29756081104278564, Strongly agree: 0.07838238775730133, Agree: 0.05331683158874512
Index: 23, Disagree: 0.6133244037628174, Strongly disagree: 0.2560097277164459, Strongly agree: 0.07600660622119904, Agree: 0.05465923249721527
Index: 24, Strongly agree: 0.7068598866462708, Agree: 0.19918778538703918, Disagree: 0.04801454767584801, Strongly disagree: 0.0459376685321331
Index: 25, Strongly disagree: 0.5988444089889526, Disagree: 0.24215269088745117, Strongly agree: 0.11092790961265564, Agree: 0.04807506129145622
Index: 26, Strongly disagree: 0.474874347448349, Disagree: 0.371410995721817, Agree: 0.08149240911006927, Strongly agree: 0.07222223281860352
Index: 27, Strongly agree: 0.3318548798561096, Disagree: 0.2929801940917969, Strongly disagree: 0.2558470368385315, Agree: 0.11931788176298141
Index: 28, Strongly agree: 0.31515395641326904, Disagree: 0.2514438331127167, Agree: 0.24762612581253052, Strongly disagree: 0.18577614426612854
Index: 29, Strongly agree: 0.39458245038986206, Disagree: 0.2486497163772583, Strongly disagree: 0.18916529417037964, Agree: 0.16760249435901642
Index: 30, Strongly disagree: 0.5082719922065735, Disagree: 0.35008594393730164, Strongly agree: 0.0864693745970726, Agree: 0.05517265573143959
Index: 31, Strongly disagree: 0.3501047194004059, Disagree: 0.3190094828605652, Strongly agree: 0.23723535239696503, Agree: 0.0936504527926445
Index: 32, Strongly agree: 0.787409782409668, Agree: 0.1913287192583084, Strongly disagree: 0.012564828619360924, Disagree: 0.008696658536791801
Index: 33, Strongly agree: 0.5701767206192017, Agree: 0.26810023188591003, Disagree: 0.08739543706178665, Strongly disagree: 0.07432758063077927
Index: 34, Strongly disagree: 0.3812767267227173, Disagree: 0.3272345960140228, Strongly agree: 0.17471712827682495, Agree: 0.11677151173353195
Index: 35, Strongly disagree: 0.41090232133865356, Disagree: 0.34884902834892273, Strongly agree: 0.14534813165664673, Agree: 0.09490050375461578
Index: 36, Strongly disagree: 0.4258795380592346, Disagree: 0.2516051232814789, Strongly agree: 0.24279993772506714, Agree: 0.07971537858247757
Index: 37, Strongly agree: 0.3724581003189087, Strongly disagree: 0.29030841588974, Disagree: 0.19926078617572784, Agree: 0.13797269761562347
Index: 38, Strongly agree: 0.4360913336277008, Disagree: 0.20479680597782135, Agree: 0.1993403285741806, Strongly disagree: 0.15977157652378082
Index: 39, Strongly disagree: 0.49023711681365967, Disagree: 0.3074323832988739, Strongly agree: 0.12220307439565659, Agree: 0.08012746274471283
Index: 40, Strongly disagree: 0.4802747070789337, Disagree: 0.2848958969116211, Strongly agree: 0.16023528575897217, Agree: 0.07459408789873123
Index: 41, Strongly disagree: 0.34198686480522156, Disagree: 0.2664717137813568, Strongly agree: 0.23979848623275757, Agree: 0.15174293518066406
Index: 42, Strongly disagree: 0.38453593850135803, Disagree: 0.3433195650577545, Strongly agree: 0.1615394800901413, Agree: 0.11060504615306854
Index: 43, Disagree: 0.37277260422706604, Strongly disagree: 0.25162041187286377, Strongly agree: 0.19655120372772217, Agree: 0.179055854678154
Index: 44, Strongly agree: 0.43838566541671753, Disagree: 0.23836691677570343, Strongly disagree: 0.17452314496040344, Agree: 0.14872430264949799
Index: 45, Strongly disagree: 0.6449038982391357, Disagree: 0.2610488533973694, Strongly agree: 0.05988920480012894, Agree: 0.034158043563365936
Index: 46, Strongly disagree: 0.4357230067253113, Disagree: 0.43514254689216614, Strongly agree: 0.0791139081120491, Agree: 0.05002050846815109
Index: 47, Disagree: 0.6756854057312012, Strongly disagree: 0.2529696226119995, Strongly agree: 0.03875407576560974, Agree: 0.03259086236357689
Index: 48, Agree: 0.5598391890525818, Strongly agree: 0.40009573101997375, Strongly disagree: 0.024153782054781914, Disagree: 0.015911344438791275
Index: 49, Disagree: 0.29810410737991333, Strongly agree: 0.2897442877292633, Strongly disagree: 0.24467387795448303, Agree: 0.16747771203517914
Index: 50, Strongly agree: 0.5586302876472473, Strongly disagree: 0.1875300407409668, Agree: 0.14666827023029327, Disagree: 0.10717140883207321
Index: 51, Strongly agree: 0.41672927141189575, Agree: 0.2761661410331726, Disagree: 0.21432697772979736, Strongly disagree: 0.09277762472629547
Index: 52, Strongly agree: 0.622555673122406, Agree: 0.276845246553421, Disagree: 0.06066567078232765, Strongly disagree: 0.03993339464068413
Index: 53, Strongly disagree: 0.6943844556808472, Disagree: 0.19710515439510345, Strongly agree: 0.058447062969207764, Agree: 0.050063323229551315
Index: 54, Strongly agree: 0.35157671570777893, Disagree: 0.255065381526947, Strongly disagree: 0.22231613099575043, Agree: 0.17104165256023407
Index: 55, Strongly disagree: 0.38248884677886963, Disagree: 0.28005972504615784, Strongly agree: 0.2189250886440277, Agree: 0.1185263991355896
Index: 56, Strongly agree: 0.6615604162216187, Agree: 0.1926964968442917, Disagree: 0.07507946342229843, Strongly disagree: 0.07066357880830765
Index: 57, Strongly disagree: 0.4721795618534088, Strongly agree: 0.23375487327575684, Disagree: 0.1786290556192398, Agree: 0.11543650925159454
Index: 58, Strongly agree: 0.6817803382873535, Agree: 0.22851955890655518, Disagree: 0.04504620283842087, Strongly disagree: 0.04465390741825104
Index: 59, Disagree: 0.39158332347869873, Strongly disagree: 0.34064382314682007, Strongly agree: 0.18501685559749603, Agree: 0.08275599777698517
Index: 60, Strongly agree: 0.656399667263031, Agree: 0.23071540892124176, Strongly disagree: 0.06929342448711395, Disagree: 0.043591465801000595
Index: 61, Strongly disagree: 0.5793745517730713, Disagree: 0.2320002019405365, Strongly agree: 0.12034328281879425, Agree: 0.06828197091817856
Index: 62, Strongly agree: 0.41315320134162903, Agree: 0.21225953102111816, Disagree: 0.18736927211284637, Strongly disagree: 0.18721796572208405
