Index: 1, Strongly disagree: 0.4863515794277191, Disagree: 0.30871713161468506, Strongly agree: 0.1327477991580963, Agree: 0.07218354940414429
Index: 2, Strongly disagree: 0.3097793161869049, Strongly agree: 0.28205886483192444, Disagree: 0.27960115671157837, Agree: 0.12856066226959229
Index: 3, Strongly disagree: 0.5259860157966614, Disagree: 0.33773505687713623, Strongly agree: 0.07437855750322342, Agree: 0.06190032139420509
Index: 4, Strongly disagree: 0.4065895080566406, Disagree: 0.31789812445640564, Strongly agree: 0.17861442267894745, Agree: 0.09689800441265106
Index: 5, Strongly agree: 0.3282063603401184, Agree: 0.29740455746650696, Disagree: 0.19477762281894684, Strongly disagree: 0.1796114146709442
Index: 6, Strongly agree: 0.36890754103660583, Disagree: 0.21627163887023926, Strongly disagree: 0.21435332298278809, Agree: 0.2004675418138504
Index: 7, Strongly disagree: 0.48276007175445557, Disagree: 0.3189930021762848, Strongly agree: 0.11737973242998123, Agree: 0.08086717873811722
Index: 8, Strongly disagree: 0.5102831721305847, Disagree: 0.42902860045433044, Strongly agree: 0.030621059238910675, Agree: 0.030067143961787224
Index: 9, Strongly agree: 0.3462772071361542, Strongly disagree: 0.24342761933803558, Agree: 0.2323443740606308, Disagree: 0.17795079946517944
Index: 10, Strongly agree: 0.4267817437648773, Strongly disagree: 0.32309526205062866, Disagree: 0.17092421650886536, Agree: 0.07919873297214508
Index: 11, Strongly agree: 0.5321150422096252, Disagree: 0.16314080357551575, Agree: 0.16013039648532867, Strongly disagree: 0.14461368322372437
Index: 12, Strongly disagree: 0.5841374397277832, Disagree: 0.34780600666999817, Strongly agree: 0.04646136984229088, Agree: 0.021595191210508347
Index: 13, Strongly disagree: 0.5372520089149475, Disagree: 0.3186835050582886, Strongly agree: 0.09306201338768005, Agree: 0.05100244656205177
Index: 14, Strongly disagree: 0.46220964193344116, Disagree: 0.38298842310905457, Strongly agree: 0.08667102456092834, Agree: 0.06813093274831772
Index: 15, Strongly disagree: 0.6359049081802368, Disagree: 0.2608196437358856, Strongly agree: 0.07665038853883743, Agree: 0.02662508189678192
Index: 16, Strongly disagree: 0.4541349709033966, Disagree: 0.32313376665115356, Agree: 0.12331879884004593, Strongly agree: 0.09941238909959793
Index: 17, Disagree: 0.3930845260620117, Strongly disagree: 0.3500608503818512, Strongly agree: 0.17444992065429688, Agree: 0.0824047178030014
Index: 18, Strongly disagree: 0.5176979899406433, Disagree: 0.3824090361595154, Agree: 0.05086171627044678, Strongly agree: 0.04903128743171692
Index: 19, Strongly disagree: 0.5245214700698853, Disagree: 0.3888724744319916, Strongly agree: 0.05558568239212036, Agree: 0.03102036938071251
Index: 20, Strongly disagree: 0.40633291006088257, Disagree: 0.40146782994270325, Strongly agree: 0.12949179112911224, Agree: 0.06270746886730194
Index: 21, Strongly disagree: 0.36213263869285583, Disagree: 0.31686338782310486, Strongly agree: 0.22550876438617706, Agree: 0.09549518674612045
Index: 22, Strongly disagree: 0.40897423028945923, Disagree: 0.2993248403072357, Strongly agree: 0.15707579255104065, Agree: 0.1346251517534256
Index: 23, Strongly agree: 0.662783145904541, Agree: 0.11497773230075836, Disagree: 0.114816814661026, Strongly disagree: 0.10742225497961044
Index: 24, Strongly disagree: 0.3613612651824951, Disagree: 0.30912572145462036, Strongly agree: 0.19186972081661224, Agree: 0.13764332234859467
Index: 25, Strongly disagree: 0.6589231491088867, Disagree: 0.24702225625514984, Strongly agree: 0.048790961503982544, Agree: 0.04526359960436821
Index: 26, Strongly agree: 0.5631020665168762, Agree: 0.1935497373342514, Disagree: 0.1523521989583969, Strongly disagree: 0.09099604189395905
Index: 27, Strongly disagree: 0.411592036485672, Disagree: 0.30865514278411865, Strongly agree: 0.20344877243041992, Agree: 0.07630407065153122
