Index: 1, Strongly agree: 0.4342820346355438, Strongly disagree: 0.2332233041524887, Agree: 0.17752104997634888, Disagree: 0.15497362613677979
Index: 2, Strongly disagree: 0.44823575019836426, Disagree: 0.2732296586036682, Strongly agree: 0.1657640039920807, Agree: 0.11277063190937042
Index: 3, Strongly disagree: 0.5454280972480774, Disagree: 0.2518382668495178, Strongly agree: 0.12021412700414658, Agree: 0.08251949399709702
Index: 4, Strongly disagree: 0.5121930837631226, Disagree: 0.30567964911460876, Strongly agree: 0.11913635581731796, Agree: 0.0629909336566925
Index: 5, Strongly disagree: 0.38801059126853943, Disagree: 0.23714067041873932, Strongly agree: 0.21909400820732117, Agree: 0.1557547003030777
Index: 6, Strongly disagree: 0.528061032295227, Disagree: 0.23756569623947144, Strongly agree: 0.13641929626464844, Agree: 0.0979539304971695
Index: 7, Strongly disagree: 0.3446608781814575, Strongly agree: 0.28915536403656006, Disagree: 0.23972156643867493, Agree: 0.1264621615409851
Index: 8, Strongly disagree: 0.4006359875202179, Disagree: 0.2494642585515976, Strongly agree: 0.2264297753572464, Agree: 0.12346995621919632
Index: 9, Strongly disagree: 0.4083738625049591, Disagree: 0.29775944352149963, Strongly agree: 0.19991503655910492, Agree: 0.09395163506269455
Index: 10, Strongly disagree: 0.46346142888069153, Strongly agree: 0.28777197003364563, Disagree: 0.154703751206398, Agree: 0.09406287223100662
Index: 11, Strongly agree: 0.32459306716918945, Strongly disagree: 0.24734339118003845, Agree: 0.22793938219547272, Disagree: 0.20012418925762177
Index: 12, Strongly disagree: 0.5780755281448364, Disagree: 0.282723605632782, Strongly agree: 0.07658194750547409, Agree: 0.06261888891458511
Index: 13, Strongly disagree: 0.40303799510002136, Strongly agree: 0.2586894929409027, Disagree: 0.21845799684524536, Agree: 0.119814433157444
Index: 14, Strongly disagree: 0.3431723415851593, Disagree: 0.28812727332115173, Strongly agree: 0.2115197479724884, Agree: 0.15718065202236176
Index: 15, Strongly disagree: 0.3327629268169403, Strongly agree: 0.259622186422348, Disagree: 0.2583630681037903, Agree: 0.14925174415111542
Index: 16, Strongly disagree: 0.4936571419239044, Disagree: 0.2570735514163971, Strongly agree: 0.18266351521015167, Agree: 0.06660579144954681
Index: 17, Strongly disagree: 0.411443293094635, Strongly agree: 0.2975628077983856, Disagree: 0.16162271797657013, Agree: 0.12937118113040924
Index: 18, Strongly disagree: 0.40178802609443665, Strongly agree: 0.23840010166168213, Disagree: 0.20938582718372345, Agree: 0.15042603015899658
Index: 19, Strongly disagree: 0.5499069690704346, Disagree: 0.30727913975715637, Strongly agree: 0.09354791045188904, Agree: 0.0492660216987133
Index: 20, Strongly agree: 0.47788551449775696, Agree: 0.35131534934043884, Disagree: 0.11317525804042816, Strongly disagree: 0.05762389674782753
Index: 21, Strongly agree: 0.38134750723838806, Strongly disagree: 0.31303802132606506, Disagree: 0.17430928349494934, Agree: 0.1313052475452423
Index: 22, Strongly disagree: 0.7789562344551086, Disagree: 0.14597050845623016, Strongly agree: 0.04841559752821922, Agree: 0.02665770798921585
Index: 23, Strongly disagree: 0.3242154121398926, Strongly agree: 0.2510402202606201, Disagree: 0.25072094798088074, Agree: 0.17402337491512299
Index: 24, Strongly disagree: 0.4804440438747406, Disagree: 0.3487165868282318, Strongly agree: 0.10692238807678223, Agree: 0.06391693651676178
Index: 25, Strongly disagree: 0.6558090448379517, Disagree: 0.21328800916671753, Strongly agree: 0.09288373589515686, Agree: 0.03801916539669037
Index: 26, Strongly disagree: 0.33508989214897156, Disagree: 0.24998538196086884, Agree: 0.21608266234397888, Strongly agree: 0.19884206354618073
Index: 27, Strongly disagree: 0.47526365518569946, Disagree: 0.34137195348739624, Strongly agree: 0.11114927381277084, Agree: 0.07221508026123047
Index: 28, Strongly disagree: 0.5938366651535034, Disagree: 0.28613537549972534, Strongly agree: 0.08304381370544434, Agree: 0.03698413446545601
Index: 29, Agree: 0.4918423891067505, Strongly agree: 0.45170074701309204, Strongly disagree: 0.030210919678211212, Disagree: 0.026245981454849243
Index: 30, Disagree: 0.3850863575935364, Strongly disagree: 0.28740227222442627, Strongly agree: 0.19455541670322418, Agree: 0.1329559087753296
Index: 31, Strongly disagree: 0.46263188123703003, Disagree: 0.2229088842868805, Strongly agree: 0.21888326108455658, Agree: 0.09557599574327469
Index: 32, Strongly disagree: 0.6033919453620911, Disagree: 0.21154651045799255, Strongly agree: 0.11113684624433517, Agree: 0.07392469048500061
Index: 33, Disagree: 0.3922659158706665, Strongly disagree: 0.3919134736061096, Strongly agree: 0.14289149641990662, Agree: 0.07292915135622025
Index: 34, Strongly disagree: 0.33091288805007935, Strongly agree: 0.31887689232826233, Disagree: 0.20100697875022888, Agree: 0.14920321106910706
Index: 35, Strongly disagree: 0.43801745772361755, Strongly agree: 0.23223862051963806, Disagree: 0.1890033334493637, Agree: 0.14074063301086426
Index: 36, Strongly disagree: 0.38527578115463257, Disagree: 0.3309410810470581, Strongly agree: 0.19199027121067047, Agree: 0.09179281443357468
Index: 37, Strongly disagree: 0.49844443798065186, Disagree: 0.25614622235298157, Strongly agree: 0.14384345710277557, Agree: 0.1015659049153328
Index: 38, Strongly disagree: 0.44153133034706116, Disagree: 0.3806719183921814, Agree: 0.09352290630340576, Strongly agree: 0.0842738002538681
Index: 39, Strongly agree: 0.30656716227531433, Strongly disagree: 0.28318092226982117, Disagree: 0.21942250430583954, Agree: 0.19082945585250854
Index: 40, Strongly disagree: 0.4963435232639313, Strongly agree: 0.2454068809747696, Disagree: 0.16674482822418213, Agree: 0.09150479733943939
Index: 41, Strongly disagree: 0.5739648342132568, Disagree: 0.17913292348384857, Strongly agree: 0.17362554371356964, Agree: 0.07327672094106674
Index: 42, Strongly disagree: 0.5131731033325195, Strongly agree: 0.1972726732492447, Disagree: 0.189003124833107, Agree: 0.10055110603570938
Index: 43, Strongly disagree: 0.4008619487285614, Disagree: 0.25934702157974243, Strongly agree: 0.1851225644350052, Agree: 0.15466845035552979
Index: 44, Strongly disagree: 0.6465997695922852, Disagree: 0.19504433870315552, Strongly agree: 0.10269088298082352, Agree: 0.05566499009728432
Index: 45, Strongly disagree: 0.6697016954421997, Disagree: 0.23099082708358765, Strongly agree: 0.06537758558988571, Agree: 0.03392990306019783
Index: 46, Strongly disagree: 0.3650197684764862, Disagree: 0.3333069086074829, Strongly agree: 0.1543850153684616, Agree: 0.14728829264640808
Index: 47, Strongly disagree: 0.5687907934188843, Disagree: 0.2279408872127533, Strongly agree: 0.13203902542591095, Agree: 0.07122938334941864
Index: 48, Strongly disagree: 0.34409579634666443, Strongly agree: 0.2856089472770691, Disagree: 0.21120910346508026, Agree: 0.1590861678123474
Index: 49, Strongly disagree: 0.5359272956848145, Disagree: 0.2903377413749695, Strongly agree: 0.1215696632862091, Agree: 0.05216532200574875
Index: 50, Strongly agree: 0.32852503657341003, Agree: 0.2550693452358246, Strongly disagree: 0.24060215055942535, Disagree: 0.17580343782901764
Index: 51, Disagree: 0.29841336607933044, Strongly agree: 0.2972414195537567, Strongly disagree: 0.2671605050563812, Agree: 0.1371847540140152
Index: 52, Strongly disagree: 0.42153412103652954, Disagree: 0.2509600520133972, Strongly agree: 0.1905435472726822, Agree: 0.13696226477622986
Index: 53, Disagree: 0.35962435603141785, Strongly disagree: 0.3183591067790985, Agree: 0.19697418808937073, Strongly agree: 0.1250423789024353
Index: 54, Strongly disagree: 0.42887791991233826, Disagree: 0.21216630935668945, Strongly agree: 0.20315441489219666, Agree: 0.15580140054225922
Index: 55, Strongly disagree: 0.4606788754463196, Disagree: 0.27632904052734375, Strongly agree: 0.170477956533432, Agree: 0.09251417964696884
Index: 56, Strongly disagree: 0.3103457987308502, Strongly agree: 0.2537109851837158, Disagree: 0.2233411818742752, Agree: 0.2126019448041916
Index: 57, Strongly disagree: 0.4755549132823944, Disagree: 0.359874427318573, Strongly agree: 0.10491499304771423, Agree: 0.05965571105480194
Index: 58, Strongly agree: 0.4867281913757324, Strongly disagree: 0.199356809258461, Disagree: 0.17213770747184753, Agree: 0.14177729189395905
Index: 59, Strongly disagree: 0.43325814604759216, Disagree: 0.36468705534935, Strongly agree: 0.1024336963891983, Agree: 0.09962113201618195
Index: 60, Strongly disagree: 0.38897085189819336, Strongly agree: 0.25357237458229065, Disagree: 0.20865575969219208, Agree: 0.1488010585308075
Index: 61, Strongly disagree: 0.6816714406013489, Disagree: 0.27285993099212646, Strongly agree: 0.027207115665078163, Agree: 0.018261536955833435
Index: 62, Strongly agree: 0.3481447398662567, Strongly disagree: 0.3396841287612915, Disagree: 0.17182914912700653, Agree: 0.14034193754196167
