Index: 1, Disagree: 0.5785422921180725, Strongly disagree: 0.4127357602119446, Strongly agree: 0.004443821031600237, Agree: 0.004278070759028196
Index: 2, Disagree: 0.5991071462631226, Strongly disagree: 0.39028412103652954, Agree: 0.005397722590714693, Strongly agree: 0.005211003590375185
Index: 3, Disagree: 0.5820296406745911, Strongly disagree: 0.4076294004917145, Strongly agree: 0.005774990189820528, Agree: 0.004565956071019173
Index: 4, Disagree: 0.5796661972999573, Strongly disagree: 0.3904639184474945, Strongly agree: 0.015740826725959778, Agree: 0.01412906963378191
Index: 5, Strongly agree: 0.5789633989334106, Agree: 0.18588583171367645, Disagree: 0.16565090417861938, Strongly disagree: 0.06949983537197113
Index: 6, Disagree: 0.5722500085830688, Strongly disagree: 0.4074329733848572, Strongly agree: 0.011614193208515644, Agree: 0.008702803403139114
Index: 7, Strongly agree: 0.7119824886322021, Disagree: 0.11729707568883896, Agree: 0.11411923170089722, Strongly disagree: 0.056601282209157944
Index: 8, Strongly disagree: 0.5199232697486877, Disagree: 0.45864662528038025, Strongly agree: 0.013058194890618324, Agree: 0.008372008800506592
Index: 9, Strongly agree: 0.677520751953125, Agree: 0.22283008694648743, Disagree: 0.055460888892412186, Strongly disagree: 0.04418838769197464
Index: 10, Strongly disagree: 0.5214470028877258, Disagree: 0.46512889862060547, Strongly agree: 0.00794841069728136, Agree: 0.005475696641951799
Index: 11, Strongly agree: 0.669835090637207, Agree: 0.18159040808677673, Disagree: 0.10037390142679214, Strongly disagree: 0.04820062592625618
Index: 12, Disagree: 0.5434586405754089, Strongly disagree: 0.44705745577812195, Strongly agree: 0.005129456985741854, Agree: 0.004354389850050211
Index: 13, Strongly agree: 0.6479204893112183, Agree: 0.2838824689388275, Disagree: 0.03723840042948723, Strongly disagree: 0.03095860779285431
Index: 14, Strongly disagree: 0.502171516418457, Disagree: 0.4808894693851471, Strongly agree: 0.009568382054567337, Agree: 0.0073705874383449554
Index: 15, Strongly agree: 0.5317261219024658, Agree: 0.20383663475513458, Disagree: 0.18341612815856934, Strongly disagree: 0.08102109283208847
Index: 16, Disagree: 0.5106372833251953, Strongly disagree: 0.47595611214637756, Strongly agree: 0.00767859723418951, Agree: 0.005727957468479872
Index: 17, Strongly agree: 0.6332787275314331, Disagree: 0.15258179605007172, Agree: 0.14242799580097198, Strongly disagree: 0.07171149551868439
Index: 18, Disagree: 0.6110004186630249, Strongly disagree: 0.36915838718414307, Strongly agree: 0.01145672332495451, Agree: 0.008384531363844872
Index: 19, Strongly agree: 0.694663405418396, Agree: 0.17779913544654846, Disagree: 0.07339756935834885, Strongly disagree: 0.054139796644449234
Index: 20, Disagree: 0.5983026623725891, Strongly disagree: 0.3952232003211975, Strongly agree: 0.00326670054346323, Agree: 0.0032074779737740755
Index: 21, Disagree: 0.5867290496826172, Strongly disagree: 0.39383867383003235, Strongly agree: 0.010513913817703724, Agree: 0.008918333798646927
Index: 22, Strongly disagree: 0.5206284523010254, Disagree: 0.4590104818344116, Strongly agree: 0.011667527258396149, Agree: 0.008693602867424488
Index: 23, Strongly agree: 0.6692771911621094, Disagree: 0.1425234079360962, Agree: 0.1064537912607193, Strongly disagree: 0.08174564689397812
Index: 24, Strongly agree: 0.5733227133750916, Strongly disagree: 0.16738419234752655, Disagree: 0.14955420792102814, Agree: 0.10973888635635376
Index: 25, Disagree: 0.5754263401031494, Strongly disagree: 0.4069048762321472, Strongly agree: 0.009492260403931141, Agree: 0.0081765903159976
Index: 26, Disagree: 0.4989190697669983, Strongly disagree: 0.4873420000076294, Strongly agree: 0.007810287643224001, Agree: 0.005928677041083574
Index: 27, Strongly agree: 0.5224317908287048, Disagree: 0.24788527190685272, Agree: 0.14248256385326385, Strongly disagree: 0.08720040321350098
Index: 28, Strongly agree: 0.48999422788619995, Disagree: 0.23707342147827148, Agree: 0.15359492599964142, Strongly disagree: 0.11933742463588715
Index: 29, Disagree: 0.5693142414093018, Strongly disagree: 0.42139914631843567, Strongly agree: 0.004941465333104134, Agree: 0.004345155321061611
Index: 30, Disagree: 0.5773744583129883, Strongly disagree: 0.4063444435596466, Strongly agree: 0.008414185605943203, Agree: 0.007866955362260342
Index: 31, Disagree: 0.5578178763389587, Strongly disagree: 0.42437660694122314, Strongly agree: 0.009335157461464405, Agree: 0.008470316417515278
Index: 32, Disagree: 0.5585594177246094, Strongly disagree: 0.4184800088405609, Strongly agree: 0.012384409084916115, Agree: 0.010576183907687664
Index: 33, Strongly agree: 0.7141434550285339, Agree: 0.2260407656431198, Disagree: 0.03392751142382622, Strongly disagree: 0.025888336822390556
Index: 34, Disagree: 0.5472692251205444, Strongly disagree: 0.44401121139526367, Strongly agree: 0.004796409979462624, Agree: 0.003923116251826286
Index: 35, Disagree: 0.5432395339012146, Strongly disagree: 0.4341656267642975, Strongly agree: 0.012580808252096176, Agree: 0.010013946332037449
Index: 36, Strongly agree: 0.42923876643180847, Disagree: 0.25343263149261475, Agree: 0.1833793669939041, Strongly disagree: 0.13394927978515625
Index: 37, Disagree: 0.5291454195976257, Strongly disagree: 0.46238312125205994, Strongly agree: 0.004616776946932077, Agree: 0.003854661248624325
Index: 38, Strongly agree: 0.5350703597068787, Disagree: 0.23382674157619476, Agree: 0.1498822271823883, Strongly disagree: 0.08122069388628006
Index: 39, Strongly disagree: 0.5305843949317932, Disagree: 0.46200594305992126, Strongly agree: 0.0041209119372069836, Agree: 0.0032887915149331093
Index: 40, Strongly agree: 0.7589634656906128, Agree: 0.12255492061376572, Disagree: 0.06839469820261002, Strongly disagree: 0.05008691921830177
Index: 41, Disagree: 0.5848274230957031, Strongly disagree: 0.38571083545684814, Strongly agree: 0.015609750524163246, Agree: 0.01385202445089817
Index: 42, Strongly agree: 0.5476109981536865, Agree: 0.18975089490413666, Disagree: 0.17628039419651031, Strongly disagree: 0.08635770529508591
Index: 43, Disagree: 0.501039981842041, Strongly disagree: 0.47925764322280884, Strongly agree: 0.010581028647720814, Agree: 0.00912136398255825
Index: 44, Disagree: 0.5106875896453857, Strongly disagree: 0.46652117371559143, Strongly agree: 0.012736267410218716, Agree: 0.01005493476986885
Index: 45, Strongly disagree: 0.516768217086792, Disagree: 0.4583584666252136, Strongly agree: 0.014756470918655396, Agree: 0.010116878896951675
Index: 46, Strongly disagree: 0.5148047804832458, Disagree: 0.4676228165626526, Strongly agree: 0.00984787568449974, Agree: 0.007724483497440815
Index: 47, Disagree: 0.5707060694694519, Strongly disagree: 0.4117995798587799, Strongly agree: 0.009652914479374886, Agree: 0.007841474376618862
Index: 48, Strongly agree: 0.5354798436164856, Disagree: 0.2198934406042099, Strongly disagree: 0.12877604365348816, Agree: 0.11585068702697754
Index: 49, Strongly agree: 0.6496562361717224, Agree: 0.269778847694397, Disagree: 0.042579710483551025, Strongly disagree: 0.037985194474458694
Index: 50, Disagree: 0.6495676040649414, Strongly disagree: 0.3307989537715912, Strongly agree: 0.01062703412026167, Agree: 0.00900641456246376
