Index: 1, Disagree: 0.5180726647377014, Agree: 0.26012325286865234, Strongly disagree: 0.11694202572107315, Strongly agree: 0.1048620343208313
Index: 2, Agree: 0.44340959191322327, Disagree: 0.2635001540184021, Strongly agree: 0.17576555907726288, Strongly disagree: 0.11732471734285355
Index: 3, Agree: 0.5293863415718079, Disagree: 0.20257528126239777, Strongly agree: 0.15822292864322662, Strongly disagree: 0.10981534421443939
Index: 4, Agree: 0.6023311018943787, Strongly agree: 0.3828873038291931, Disagree: 0.008223316632211208, Strongly disagree: 0.0065583777613937855
Index: 5, Agree: 0.6244246363639832, Strongly agree: 0.16777262091636658, Disagree: 0.1145324856042862, Strongly disagree: 0.09327029436826706
Index: 6, Disagree: 0.43196073174476624, Agree: 0.34989121556282043, Strongly disagree: 0.10981971770524979, Strongly agree: 0.10832832008600235
Index: 7, Agree: 0.6274011731147766, Strongly agree: 0.16437777876853943, Disagree: 0.12177489697933197, Strongly disagree: 0.08644619584083557
Index: 8, Agree: 0.6297619342803955, Strongly agree: 0.15107285976409912, Disagree: 0.11926582455635071, Strongly disagree: 0.09989938139915466
Index: 9, Agree: 0.6605532169342041, Strongly agree: 0.3243633806705475, Disagree: 0.008730951696634293, Strongly disagree: 0.006352510768920183
Index: 10, Disagree: 0.37514978647232056, Agree: 0.34603849053382874, Strongly agree: 0.14389827847480774, Strongly disagree: 0.13491347432136536
Index: 11, Agree: 0.4035816788673401, Disagree: 0.26418036222457886, Strongly disagree: 0.16847112774848938, Strongly agree: 0.16376686096191406
Index: 12, Agree: 0.5529951453208923, Strongly agree: 0.16441187262535095, Strongly disagree: 0.1417735517024994, Disagree: 0.14081943035125732
Index: 13, Agree: 0.44386595487594604, Disagree: 0.3081586956977844, Strongly agree: 0.13039663434028625, Strongly disagree: 0.11757871508598328
Index: 14, Agree: 0.6282709836959839, Strongly agree: 0.35621750354766846, Disagree: 0.008796097710728645, Strongly disagree: 0.006715360097587109
Index: 15, Disagree: 0.39098960161209106, Agree: 0.3522107005119324, Strongly agree: 0.13464953005313873, Strongly disagree: 0.12215019017457962
Index: 16, Agree: 0.45490697026252747, Disagree: 0.3085659146308899, Strongly agree: 0.13071657717227936, Strongly disagree: 0.10581053048372269
Index: 17, Agree: 0.3964097201824188, Disagree: 0.3397575914859772, Strongly agree: 0.1613076627254486, Strongly disagree: 0.10252508521080017
Index: 18, Agree: 0.4334695339202881, Disagree: 0.2970576584339142, Strongly agree: 0.14424672722816467, Strongly disagree: 0.1252260059118271
Index: 19, Disagree: 0.4494417905807495, Agree: 0.3121700584888458, Strongly disagree: 0.12370910495519638, Strongly agree: 0.1146790087223053
Index: 20, Disagree: 0.4445783495903015, Agree: 0.35748374462127686, Strongly disagree: 0.10926219075918198, Strongly agree: 0.08867572993040085
Index: 21, Agree: 0.625377893447876, Strongly agree: 0.35666656494140625, Disagree: 0.011043034493923187, Strongly disagree: 0.00691247871145606
Index: 22, Agree: 0.43656450510025024, Disagree: 0.2715018093585968, Strongly agree: 0.20022797584533691, Strongly disagree: 0.09170570224523544
Index: 23, Agree: 0.5767360925674438, Strongly agree: 0.4069560468196869, Disagree: 0.009105399250984192, Strongly disagree: 0.007202500011771917
Index: 24, Agree: 0.5221325159072876, Disagree: 0.16996437311172485, Strongly agree: 0.16006916761398315, Strongly disagree: 0.147833913564682
Index: 25, Disagree: 0.40953150391578674, Agree: 0.31459832191467285, Strongly disagree: 0.1529177874326706, Strongly agree: 0.1229524090886116
Index: 26, Agree: 0.512566328048706, Disagree: 0.23108215630054474, Strongly agree: 0.14278259873390198, Strongly disagree: 0.11356887221336365
Index: 27, Agree: 0.51004558801651, Strongly agree: 0.19687415659427643, Disagree: 0.19170066714286804, Strongly disagree: 0.1013796254992485
Index: 28, Agree: 0.6013328433036804, Disagree: 0.15782663226127625, Strongly agree: 0.13221411406993866, Strongly disagree: 0.10862638056278229
Index: 29, Agree: 0.3791384696960449, Disagree: 0.33058908581733704, Strongly disagree: 0.15512529015541077, Strongly agree: 0.13514721393585205
Index: 30, Disagree: 0.6139956712722778, Agree: 0.2149055451154709, Strongly disagree: 0.10484037548303604, Strongly agree: 0.06625842303037643
Index: 31, Agree: 0.47684159874916077, Disagree: 0.23348383605480194, Strongly agree: 0.18014708161354065, Strongly disagree: 0.10952755808830261
Index: 32, Agree: 0.5168847441673279, Disagree: 0.20106099545955658, Strongly agree: 0.14632952213287354, Strongly disagree: 0.135724738240242
Index: 33, Agree: 0.6457353830337524, Strongly agree: 0.338382363319397, Disagree: 0.008680634200572968, Strongly disagree: 0.007201668806374073
Index: 34, Agree: 0.5051493048667908, Strongly agree: 0.20084813237190247, Disagree: 0.17865730822086334, Strongly disagree: 0.11534523963928223
Index: 35, Agree: 0.3992516100406647, Disagree: 0.30668625235557556, Strongly disagree: 0.14727148413658142, Strongly agree: 0.14679071307182312
Index: 36, Agree: 0.6656083464622498, Strongly agree: 0.31519103050231934, Disagree: 0.010573232546448708, Strongly disagree: 0.008627415634691715
Index: 37, Agree: 0.3793327510356903, Disagree: 0.35765206813812256, Strongly disagree: 0.15015392005443573, Strongly agree: 0.11286132037639618
Index: 38, Agree: 0.5837507843971252, Strongly agree: 0.32939067482948303, Disagree: 0.05260489135980606, Strongly disagree: 0.03425358608365059
Index: 39, Agree: 0.39589935541152954, Disagree: 0.3091975450515747, Strongly disagree: 0.15192855894565582, Strongly agree: 0.1429746001958847
Index: 40, Disagree: 0.43240243196487427, Agree: 0.3337114751338959, Strongly agree: 0.12158989161252975, Strongly disagree: 0.1122962161898613
Index: 41, Agree: 0.4731060862541199, Disagree: 0.22446539998054504, Strongly agree: 0.2046985626220703, Strongly disagree: 0.09772990643978119
Index: 42, Agree: 0.46245285868644714, Disagree: 0.30733421444892883, Strongly agree: 0.14324499666690826, Strongly disagree: 0.08696790784597397
Index: 43, Disagree: 0.3781810402870178, Agree: 0.3561181426048279, Strongly disagree: 0.15981541574001312, Strongly agree: 0.10588544607162476
Index: 44, Agree: 0.44368281960487366, Disagree: 0.21152760088443756, Strongly agree: 0.20709390938282013, Strongly disagree: 0.13769564032554626
Index: 45, Disagree: 0.3613123893737793, Agree: 0.3586413264274597, Strongly agree: 0.15894415974617004, Strongly disagree: 0.12110213190317154
Index: 46, Agree: 0.5051173567771912, Disagree: 0.21735672652721405, Strongly agree: 0.14390982687473297, Strongly disagree: 0.13361606001853943
Index: 47, Agree: 0.45058318972587585, Disagree: 0.2516978681087494, Strongly disagree: 0.15054652094841003, Strongly agree: 0.14717243611812592
Index: 48, Agree: 0.557263970375061, Disagree: 0.17791354656219482, Strongly agree: 0.15343058109283447, Strongly disagree: 0.11139196902513504
Index: 49, Agree: 0.528222918510437, Disagree: 0.2110399752855301, Strongly agree: 0.1431349515914917, Strongly disagree: 0.11760213226079941
Index: 50, Agree: 0.6503762602806091, Strongly agree: 0.3338214159011841, Disagree: 0.008684392087161541, Strongly disagree: 0.00711784278973937
Index: 51, Agree: 0.5447402596473694, Strongly agree: 0.1585012823343277, Disagree: 0.15429188311100006, Strongly disagree: 0.14246663451194763
Index: 52, Agree: 0.5770062804222107, Strongly agree: 0.19383281469345093, Disagree: 0.13544459640979767, Strongly disagree: 0.0937163308262825
Index: 53, Agree: 0.5923948884010315, Disagree: 0.17317795753479004, Strongly agree: 0.12588615715503693, Strongly disagree: 0.10854103416204453
Index: 54, Disagree: 0.4315534234046936, Agree: 0.3558253347873688, Strongly agree: 0.11096037179231644, Strongly disagree: 0.10166086256504059
Index: 55, Agree: 0.4531666934490204, Disagree: 0.23677371442317963, Strongly agree: 0.15692365169525146, Strongly disagree: 0.15313588082790375
Index: 56, Agree: 0.4221574366092682, Disagree: 0.2891167104244232, Strongly disagree: 0.16295410692691803, Strongly agree: 0.12577174603939056
Index: 57, Agree: 0.49760156869888306, Disagree: 0.23719842731952667, Strongly agree: 0.14983221888542175, Strongly disagree: 0.11536770313978195
Index: 58, Disagree: 0.43786704540252686, Agree: 0.31484586000442505, Strongly disagree: 0.13533218204975128, Strongly agree: 0.11195487529039383
Index: 59, Disagree: 0.4887025058269501, Agree: 0.3096368610858917, Strongly agree: 0.10192149132490158, Strongly disagree: 0.09973913431167603
Index: 60, Agree: 0.3981013298034668, Disagree: 0.29568642377853394, Strongly agree: 0.17580154538154602, Strongly disagree: 0.13041071593761444
Index: 61, Agree: 0.5098778605461121, Disagree: 0.25796952843666077, Strongly agree: 0.12359189987182617, Strongly disagree: 0.1085607185959816
Index: 62, Agree: 0.5832943320274353, Disagree: 0.173862025141716, Strongly agree: 0.1287202686071396, Strongly disagree: 0.11412332206964493
