Index: 1, Disagree: 0.5288636088371277, Agree: 0.2745683491230011, Strongly disagree: 0.11643116176128387, Strongly agree: 0.08013689517974854
Index: 2, Disagree: 0.7122906446456909, Strongly disagree: 0.2515999674797058, Agree: 0.019777240231633186, Strongly agree: 0.01633208431303501
Index: 3, Agree: 0.4711822271347046, Disagree: 0.22819200158119202, Strongly agree: 0.16805240511894226, Strongly disagree: 0.13257339596748352
Index: 4, Agree: 0.5040171146392822, Disagree: 0.24426543712615967, Strongly agree: 0.13416260480880737, Strongly disagree: 0.11755486577749252
Index: 5, Agree: 0.7291693091392517, Strongly agree: 0.11059192568063736, Disagree: 0.08844190835952759, Strongly disagree: 0.07179684937000275
Index: 6, Agree: 0.49842339754104614, Strongly agree: 0.365072637796402, Strongly disagree: 0.07182519137859344, Disagree: 0.06467879563570023
Index: 7, Strongly agree: 0.5151572823524475, Agree: 0.43755343556404114, Strongly disagree: 0.02565477043390274, Disagree: 0.021634461358189583
Index: 8, Agree: 0.5339683890342712, Strongly agree: 0.26885780692100525, Disagree: 0.10247909277677536, Strongly disagree: 0.09469470381736755
Index: 9, Agree: 0.5691366791725159, Strongly agree: 0.23683279752731323, Disagree: 0.1257408857345581, Strongly disagree: 0.06828965991735458
Index: 10, Disagree: 0.37514978647232056, Agree: 0.34603849053382874, Strongly agree: 0.14389827847480774, Strongly disagree: 0.13491347432136536
Index: 11, Agree: 0.4035816788673401, Disagree: 0.26418036222457886, Strongly disagree: 0.16847112774848938, Strongly agree: 0.16376686096191406
Index: 12, Agree: 0.4229199290275574, Strongly agree: 0.244704470038414, Disagree: 0.1825929582118988, Strongly disagree: 0.14978261291980743
Index: 13, Agree: 0.6077538132667542, Strongly agree: 0.2719395160675049, Disagree: 0.06256444752216339, Strongly disagree: 0.05774227902293205
Index: 14, Agree: 0.3676493167877197, Disagree: 0.27922117710113525, Strongly agree: 0.17880238592624664, Strongly disagree: 0.174327090382576
Index: 15, Agree: 0.5634005665779114, Strongly agree: 0.2914591431617737, Disagree: 0.0770716741681099, Strongly disagree: 0.06806871294975281
Index: 16, Agree: 0.5421121716499329, Strongly agree: 0.3499698340892792, Strongly disagree: 0.05615219101309776, Disagree: 0.05176576226949692
Index: 17, Agree: 0.4649289846420288, Disagree: 0.23831261694431305, Strongly agree: 0.19893665611743927, Strongly disagree: 0.09782177209854126
Index: 18, Disagree: 0.5348823666572571, Agree: 0.2675749361515045, Strongly agree: 0.10602153092622757, Strongly disagree: 0.09152120351791382
Index: 19, Disagree: 0.4564927816390991, Agree: 0.31228163838386536, Strongly disagree: 0.12047388404607773, Strongly agree: 0.11075162142515182
Index: 20, Disagree: 0.4994857609272003, Agree: 0.25644272565841675, Strongly disagree: 0.1441977471113205, Strongly agree: 0.09987372159957886
Index: 21, Agree: 0.4070790410041809, Disagree: 0.3785383701324463, Strongly agree: 0.12144465744495392, Strongly disagree: 0.09293796122074127
Index: 22, Agree: 0.43656450510025024, Disagree: 0.2715018093585968, Strongly agree: 0.20022797584533691, Strongly disagree: 0.09170570224523544
Index: 23, Agree: 0.3304823338985443, Disagree: 0.3119136691093445, Strongly agree: 0.2623084485530853, Strongly disagree: 0.0952955111861229
Index: 24, Agree: 0.5221325159072876, Disagree: 0.16996437311172485, Strongly agree: 0.16006916761398315, Strongly disagree: 0.147833913564682
Index: 25, Disagree: 0.40953150391578674, Agree: 0.31459832191467285, Strongly disagree: 0.1529177874326706, Strongly agree: 0.1229524090886116
Index: 26, Agree: 0.572668194770813, Strongly agree: 0.3331397473812103, Strongly disagree: 0.05273953452706337, Disagree: 0.041452568024396896
Index: 27, Agree: 0.51004558801651, Strongly agree: 0.19687415659427643, Disagree: 0.19170066714286804, Strongly disagree: 0.1013796254992485
Index: 28, Disagree: 0.6493533253669739, Strongly disagree: 0.29772359132766724, Strongly agree: 0.026983220130205154, Agree: 0.025939907878637314
Index: 29, Agree: 0.4288182854652405, Disagree: 0.2711476981639862, Strongly agree: 0.15054774284362793, Strongly disagree: 0.1494862139225006
Index: 30, Agree: 0.6280632615089417, Strongly agree: 0.22822032868862152, Disagree: 0.10191182792186737, Strongly disagree: 0.041804589331150055
Index: 31, Agree: 0.5127261281013489, Strongly agree: 0.18581965565681458, Disagree: 0.17833475768566132, Strongly disagree: 0.12311946600675583
Index: 32, Agree: 0.59181147813797, Strongly agree: 0.28273412585258484, Strongly disagree: 0.06705999374389648, Disagree: 0.058394305408000946
Index: 33, Agree: 0.5144420862197876, Strongly agree: 0.18057188391685486, Disagree: 0.15787826478481293, Strongly disagree: 0.1471078246831894
Index: 34, Agree: 0.5092348456382751, Strongly agree: 0.3153728246688843, Disagree: 0.09661313891410828, Strongly disagree: 0.07877925783395767
Index: 35, Agree: 0.44663459062576294, Strongly agree: 0.43427518010139465, Strongly disagree: 0.06147525832056999, Disagree: 0.057614922523498535
Index: 36, Agree: 0.6531423926353455, Strongly agree: 0.20401421189308167, Disagree: 0.07800496369600296, Strongly disagree: 0.06483842432498932
Index: 37, Agree: 0.7453241944313049, Strongly agree: 0.1497104912996292, Disagree: 0.06193092092871666, Strongly disagree: 0.04303441941738129
Index: 38, Agree: 0.38815394043922424, Disagree: 0.27810847759246826, Strongly agree: 0.18764148652553558, Strongly disagree: 0.14609608054161072
Index: 39, Agree: 0.39589935541152954, Disagree: 0.3091975450515747, Strongly disagree: 0.15192855894565582, Strongly agree: 0.1429746001958847
Index: 40, Disagree: 0.5280640721321106, Strongly disagree: 0.45991212129592896, Strongly agree: 0.006520471535623074, Agree: 0.005503381136804819
Index: 41, Agree: 0.4731060862541199, Disagree: 0.22446539998054504, Strongly agree: 0.2046985626220703, Strongly disagree: 0.09772990643978119
Index: 42, Agree: 0.46245285868644714, Disagree: 0.30733421444892883, Strongly agree: 0.14324499666690826, Strongly disagree: 0.08696790784597397
