Index: 1, Agree: 0.5778742432594299, Strongly agree: 0.2926401197910309, Disagree: 0.08324023336172104, Strongly disagree: 0.04624539613723755
Index: 2, Agree: 0.5540076494216919, Disagree: 0.19093091785907745, Strongly agree: 0.16218635439872742, Strongly disagree: 0.09287512302398682
Index: 3, Agree: 0.6092687845230103, Strongly agree: 0.21493680775165558, Disagree: 0.113488107919693, Strongly disagree: 0.062306277453899384
Index: 4, Disagree: 0.7352656722068787, Strongly disagree: 0.18661101162433624, Agree: 0.041890949010849, Strongly agree: 0.036232344806194305
Index: 5, Agree: 0.7000584006309509, Strongly agree: 0.1476210504770279, Disagree: 0.0940030887722969, Strongly disagree: 0.05831749737262726
Index: 6, Agree: 0.6271379590034485, Strongly agree: 0.22482141852378845, Disagree: 0.09145010262727737, Strongly disagree: 0.05659053847193718
Index: 7, Agree: 0.4144802689552307, Strongly agree: 0.3936234414577484, Disagree: 0.1376429796218872, Strongly disagree: 0.05425334721803665
Index: 8, Agree: 0.6532678604125977, Strongly agree: 0.2207181453704834, Disagree: 0.07744922488927841, Strongly disagree: 0.04856470599770546
Index: 9, Agree: 0.6207887530326843, Strongly agree: 0.22842027246952057, Disagree: 0.09534194320440292, Strongly disagree: 0.05544894561171532
Index: 10, Agree: 0.6023176908493042, Strongly agree: 0.2329055219888687, Disagree: 0.1004115492105484, Strongly disagree: 0.06436529010534286
Index: 11, Agree: 0.5315606594085693, Strongly agree: 0.22631268203258514, Disagree: 0.14785467088222504, Strongly disagree: 0.09427197277545929
Index: 12, Agree: 0.6898446083068848, Strongly agree: 0.16648215055465698, Disagree: 0.09134560078382492, Strongly disagree: 0.05232764407992363
Index: 13, Disagree: 0.6771460175514221, Strongly disagree: 0.2417699545621872, Agree: 0.04725639894604683, Strongly agree: 0.033827632665634155
Index: 14, Agree: 0.5938907265663147, Strongly agree: 0.3023058772087097, Disagree: 0.06209741160273552, Strongly disagree: 0.04170598089694977
Index: 15, Disagree: 0.7002180218696594, Strongly disagree: 0.18541662395000458, Agree: 0.06571298092603683, Strongly agree: 0.048652347177267075
Index: 16, Agree: 0.6154078245162964, Strongly agree: 0.21885119378566742, Disagree: 0.10565479844808578, Strongly disagree: 0.060086172074079514
Index: 17, Agree: 0.5955284833908081, Strongly agree: 0.2836421728134155, Disagree: 0.07535970211029053, Strongly disagree: 0.04546967148780823
Index: 18, Agree: 0.641079843044281, Strongly agree: 0.2377844899892807, Disagree: 0.0806686207652092, Strongly disagree: 0.040467049926519394
Index: 19, Agree: 0.5955381989479065, Strongly agree: 0.197803795337677, Disagree: 0.13230234384536743, Strongly disagree: 0.07435562461614609
Index: 20, Agree: 0.6729750633239746, Strongly agree: 0.20664720237255096, Disagree: 0.07533924281597137, Strongly disagree: 0.04503850266337395
Index: 21, Disagree: 0.6868847608566284, Strongly disagree: 0.21135295927524567, Agree: 0.06414534896612167, Strongly agree: 0.037616994231939316
Index: 22, Agree: 0.5715134143829346, Strongly agree: 0.31890133023262024, Disagree: 0.06958691030740738, Strongly disagree: 0.03999832645058632
Index: 23, Agree: 0.6441026329994202, Strongly agree: 0.222332164645195, Disagree: 0.0852244570851326, Strongly disagree: 0.048340726643800735
Index: 24, Agree: 0.6358227133750916, Strongly agree: 0.1825016736984253, Disagree: 0.1139393001794815, Strongly disagree: 0.06773636490106583
Index: 25, Agree: 0.5935959219932556, Strongly agree: 0.2792591452598572, Disagree: 0.07397478818893433, Strongly disagree: 0.05317019671201706
Index: 26, Agree: 0.6281358003616333, Strongly agree: 0.2797359526157379, Disagree: 0.05493216589093208, Strongly disagree: 0.03719612956047058
Index: 27, Agree: 0.5639976859092712, Strongly agree: 0.23106896877288818, Disagree: 0.1294594556093216, Strongly disagree: 0.07547391206026077
