Index: 1, Disagree: 0.5180726647377014, Agree: 0.26012325286865234, Strongly disagree: 0.11694202572107315, Strongly agree: 0.1048620343208313
Index: 2, Agree: 0.44340959191322327, Disagree: 0.2635001540184021, Strongly agree: 0.17576555907726288, Strongly disagree: 0.11732471734285355
Index: 3, Agree: 0.5293863415718079, Disagree: 0.20257528126239777, Strongly agree: 0.15822292864322662, Strongly disagree: 0.10981534421443939
Index: 4, Agree: 0.6023311018943787, Strongly agree: 0.3828873038291931, Disagree: 0.008223316632211208, Strongly disagree: 0.0065583777613937855
Index: 5, Agree: 0.6244246363639832, Strongly agree: 0.16777262091636658, Disagree: 0.1145324856042862, Strongly disagree: 0.09327029436826706
Index: 6, Disagree: 0.43196073174476624, Agree: 0.34989121556282043, Strongly disagree: 0.10981971770524979, Strongly agree: 0.10832832008600235
Index: 7, Agree: 0.6274011731147766, Strongly agree: 0.16437777876853943, Disagree: 0.12177489697933197, Strongly disagree: 0.08644619584083557
Index: 8, Agree: 0.6538665890693665, Strongly agree: 0.33360132575035095, Disagree: 0.007006628904491663, Strongly disagree: 0.005525500513613224
Index: 9, Agree: 0.6605532169342041, Strongly agree: 0.3243633806705475, Disagree: 0.008730951696634293, Strongly disagree: 0.006352510768920183
Index: 10, Disagree: 0.37514978647232056, Agree: 0.34603849053382874, Strongly agree: 0.14389827847480774, Strongly disagree: 0.13491347432136536
Index: 11, Agree: 0.5475966930389404, Strongly agree: 0.4333775043487549, Disagree: 0.01099192351102829, Strongly disagree: 0.008033971302211285
Index: 12, Agree: 0.5529951453208923, Strongly agree: 0.16441187262535095, Strongly disagree: 0.1417735517024994, Disagree: 0.14081943035125732
Index: 13, Agree: 0.44386595487594604, Disagree: 0.3081586956977844, Strongly agree: 0.13039663434028625, Strongly disagree: 0.11757871508598328
Index: 14, Agree: 0.38356900215148926, Disagree: 0.2697661817073822, Strongly disagree: 0.176600843667984, Strongly agree: 0.17006397247314453
Index: 15, Disagree: 0.39098960161209106, Agree: 0.3522107005119324, Strongly agree: 0.13464953005313873, Strongly disagree: 0.12215019017457962
Index: 16, Agree: 0.6333408355712891, Strongly agree: 0.3496645390987396, Disagree: 0.009785582311451435, Strongly disagree: 0.007209025789052248
Index: 17, Agree: 0.3964097201824188, Disagree: 0.3397575914859772, Strongly agree: 0.1613076627254486, Strongly disagree: 0.10252508521080017
Index: 18, Agree: 0.4334695339202881, Disagree: 0.2970576584339142, Strongly agree: 0.14424672722816467, Strongly disagree: 0.1252260059118271
Index: 19, Agree: 0.6675096750259399, Strongly agree: 0.31704890727996826, Disagree: 0.0086484020575881, Strongly disagree: 0.006793049164116383
Index: 20, Disagree: 0.4445783495903015, Agree: 0.35748374462127686, Strongly disagree: 0.10926219075918198, Strongly agree: 0.08867572993040085
Index: 21, Agree: 0.3892436623573303, Disagree: 0.3791486918926239, Strongly agree: 0.15326550602912903, Strongly disagree: 0.07834213972091675
Index: 22, Agree: 0.6219703555107117, Strongly agree: 0.36083072423934937, Disagree: 0.009794463403522968, Strongly disagree: 0.007404426112771034
Index: 23, Agree: 0.4334595799446106, Strongly agree: 0.2356676310300827, Disagree: 0.2108851969242096, Strongly disagree: 0.11998753994703293
Index: 24, Agree: 0.5221325159072876, Disagree: 0.16996437311172485, Strongly agree: 0.16006916761398315, Strongly disagree: 0.147833913564682
Index: 25, Disagree: 0.40953150391578674, Agree: 0.31459832191467285, Strongly disagree: 0.1529177874326706, Strongly agree: 0.1229524090886116
Index: 26, Agree: 0.512566328048706, Disagree: 0.23108215630054474, Strongly agree: 0.14278259873390198, Strongly disagree: 0.11356887221336365
Index: 27, Agree: 0.51004558801651, Strongly agree: 0.19687415659427643, Disagree: 0.19170066714286804, Strongly disagree: 0.1013796254992485
Index: 28, Agree: 0.6013328433036804, Disagree: 0.15782663226127625, Strongly agree: 0.13221411406993866, Strongly disagree: 0.10862638056278229
Index: 29, Agree: 0.3791384696960449, Disagree: 0.33058908581733704, Strongly disagree: 0.15512529015541077, Strongly agree: 0.13514721393585205
Index: 30, Disagree: 0.6139956712722778, Agree: 0.2149055451154709, Strongly disagree: 0.10484037548303604, Strongly agree: 0.06625842303037643
Index: 31, Agree: 0.7432450652122498, Strongly agree: 0.24572637677192688, Disagree: 0.006106755696237087, Strongly disagree: 0.004921847488731146
Index: 32, Agree: 0.5168847441673279, Disagree: 0.20106099545955658, Strongly agree: 0.14632952213287354, Strongly disagree: 0.135724738240242
Index: 33, Agree: 0.6457353830337524, Strongly agree: 0.338382363319397, Disagree: 0.008680634200572968, Strongly disagree: 0.007201668806374073
Index: 34, Agree: 0.5051493048667908, Strongly agree: 0.20084813237190247, Disagree: 0.17865730822086334, Strongly disagree: 0.11534523963928223
Index: 35, Agree: 0.3992516100406647, Disagree: 0.30668625235557556, Strongly disagree: 0.14727148413658142, Strongly agree: 0.14679071307182312
Index: 36, Agree: 0.5325300097465515, Strongly agree: 0.20547518134117126, Disagree: 0.14641186594963074, Strongly disagree: 0.1155829057097435
Index: 37, Agree: 0.3793327510356903, Disagree: 0.35765206813812256, Strongly disagree: 0.15015392005443573, Strongly agree: 0.11286132037639618
Index: 38, Agree: 0.5967426896095276, Strongly agree: 0.3882123827934265, Disagree: 0.008644023910164833, Strongly disagree: 0.00640094093978405
Index: 39, Agree: 0.39589935541152954, Disagree: 0.3091975450515747, Strongly disagree: 0.15192855894565582, Strongly agree: 0.1429746001958847
Index: 40, Disagree: 0.43240243196487427, Agree: 0.3337114751338959, Strongly agree: 0.12158989161252975, Strongly disagree: 0.1122962161898613
Index: 41, Agree: 0.5684751868247986, Strongly agree: 0.4126444160938263, Disagree: 0.010054277256131172, Strongly disagree: 0.00882616825401783
Index: 42, Agree: 0.46245285868644714, Disagree: 0.30733421444892883, Strongly agree: 0.14324499666690826, Strongly disagree: 0.08696790784597397
Index: 43, Disagree: 0.3781810402870178, Agree: 0.3561181426048279, Strongly disagree: 0.15981541574001312, Strongly agree: 0.10588544607162476
Index: 44, Agree: 0.44368281960487366, Disagree: 0.21152760088443756, Strongly agree: 0.20709390938282013, Strongly disagree: 0.13769564032554626
Index: 45, Disagree: 0.3613123893737793, Agree: 0.3586413264274597, Strongly agree: 0.15894415974617004, Strongly disagree: 0.12110213190317154
Index: 46, Agree: 0.65187668800354, Strongly agree: 0.3340745270252228, Disagree: 0.007814837619662285, Strongly disagree: 0.006233976222574711
Index: 47, Agree: 0.45058318972587585, Disagree: 0.2516978681087494, Strongly disagree: 0.15054652094841003, Strongly agree: 0.14717243611812592
Index: 48, Agree: 0.557263970375061, Disagree: 0.17791354656219482, Strongly agree: 0.15343058109283447, Strongly disagree: 0.11139196902513504
Index: 49, Agree: 0.7090141773223877, Strongly agree: 0.2766319811344147, Disagree: 0.007926179096102715, Strongly disagree: 0.006427634973078966
Index: 50, Agree: 0.6696351766586304, Disagree: 0.14561788737773895, Strongly agree: 0.10748264938592911, Strongly disagree: 0.07726427167654037
Index: 51, Agree: 0.6671340465545654, Strongly agree: 0.3177855610847473, Disagree: 0.008250279352068901, Strongly disagree: 0.006830100901424885
Index: 52, Agree: 0.6144673824310303, Strongly agree: 0.37118592858314514, Disagree: 0.00789987575262785, Strongly disagree: 0.006446892861276865
Index: 53, Agree: 0.5923948884010315, Disagree: 0.17317795753479004, Strongly agree: 0.12588615715503693, Strongly disagree: 0.10854103416204453
Index: 54, Agree: 0.716124951839447, Strongly agree: 0.27103662490844727, Disagree: 0.007456780411303043, Strongly disagree: 0.005381608381867409
Index: 55, Agree: 0.4531666934490204, Disagree: 0.23677371442317963, Strongly agree: 0.15692365169525146, Strongly disagree: 0.15313588082790375
Index: 56, Agree: 0.7491505146026611, Strongly agree: 0.23881694674491882, Disagree: 0.006414812058210373, Strongly disagree: 0.005617748945951462
Index: 57, Agree: 0.49760156869888306, Disagree: 0.23719842731952667, Strongly agree: 0.14983221888542175, Strongly disagree: 0.11536770313978195
Index: 58, Disagree: 0.43786704540252686, Agree: 0.31484586000442505, Strongly disagree: 0.13533218204975128, Strongly agree: 0.11195487529039383
Index: 59, Disagree: 0.4887025058269501, Agree: 0.3096368610858917, Strongly agree: 0.10192149132490158, Strongly disagree: 0.09973913431167603
Index: 60, Agree: 0.3981013298034668, Disagree: 0.29568642377853394, Strongly agree: 0.17580154538154602, Strongly disagree: 0.13041071593761444
Index: 61, Agree: 0.5098778605461121, Disagree: 0.25796952843666077, Strongly agree: 0.12359189987182617, Strongly disagree: 0.1085607185959816
Index: 62, Agree: 0.5832943320274353, Disagree: 0.173862025141716, Strongly agree: 0.1287202686071396, Strongly disagree: 0.11412332206964493
