Index: 1, Disagree: 0.3200, Agree: 0.2688, Strongly disagree: 0.2186, Strongly agree: 0.1926
Index: 2, Strongly agree: 0.4230, Agree: 0.2392, Disagree: 0.2206, Strongly disagree: 0.1173
Index: 3, Strongly disagree: 0.3835, Disagree: 0.2507, Strongly agree: 0.1880, Agree: 0.1777
Index: 4, Strongly disagree: 0.3478, Disagree: 0.3472, Strongly agree: 0.1533, Agree: 0.1516
Index: 5, Disagree: 0.3151, Strongly agree: 0.2922, Strongly disagree: 0.2830, Agree: 0.1097
Index: 6, Agree: 0.4379, Strongly agree: 0.3677, Disagree: 0.1149, Strongly disagree: 0.0796
Index: 7, Strongly disagree: 0.3012, Disagree: 0.2755, Strongly agree: 0.2604, Agree: 0.1630
Index: 8, Agree: 0.3152, Strongly agree: 0.2926, Disagree: 0.2066, Strongly disagree: 0.1857
Index: 9, Disagree: 0.3435, Strongly disagree: 0.3229, Strongly agree: 0.1724, Agree: 0.1612
Index: 10, Disagree: 0.3302, Strongly disagree: 0.3137, Strongly agree: 0.1806, Agree: 0.1755
Index: 11, Strongly agree: 0.6167, Agree: 0.3493, Strongly disagree: 0.0174, Disagree: 0.0166
Index: 12, Strongly agree: 0.4721, Agree: 0.3069, Disagree: 0.1247, Strongly disagree: 0.0962
Index: 13, Strongly disagree: 0.4272, Disagree: 0.2489, Strongly agree: 0.1813, Agree: 0.1427
Index: 14, Strongly agree: 0.6104, Agree: 0.3566, Strongly disagree: 0.0215, Disagree: 0.0115
Index: 15, Strongly disagree: 0.2866, Disagree: 0.2455, Agree: 0.2381, Strongly agree: 0.2298
Index: 16, Agree: 0.5148, Strongly agree: 0.4288, Disagree: 0.0359, Strongly disagree: 0.0205
Index: 17, Disagree: 0.5833, Strongly disagree: 0.3237, Agree: 0.0573, Strongly agree: 0.0356
Index: 18, Strongly agree: 0.3927, Strongly disagree: 0.2701, Agree: 0.1955, Disagree: 0.1417
Index: 19, Strongly agree: 0.4697, Agree: 0.4631, Disagree: 0.0343, Strongly disagree: 0.0329
Index: 20, Disagree: 0.3494, Strongly disagree: 0.2997, Agree: 0.2182, Strongly agree: 0.1327
