Index: 1, Agree: 0.4875, Strongly agree: 0.4723, Disagree: 0.0234, Strongly disagree: 0.0168
Index: 2, Strongly agree: 0.6267, Agree: 0.3178, Disagree: 0.0353, Strongly disagree: 0.0203
Index: 3, Agree: 0.2948, Strongly disagree: 0.2447, Disagree: 0.2442, Strongly agree: 0.2163
Index: 4, Strongly disagree: 0.5997, Disagree: 0.3707, Strongly agree: 0.0161, Agree: 0.0136
Index: 5, Disagree: 0.3742, Strongly disagree: 0.2835, Strongly agree: 0.1979, Agree: 0.1443
Index: 6, Agree: 0.3775, Strongly agree: 0.3613, Disagree: 0.1752, Strongly disagree: 0.0860
Index: 7, Strongly agree: 0.7219, Agree: 0.1780, Disagree: 0.0538, Strongly disagree: 0.0464
Index: 8, Agree: 0.4496, Strongly agree: 0.4277, Disagree: 0.0663, Strongly disagree: 0.0563
Index: 9, Strongly agree: 0.3920, Agree: 0.3575, Disagree: 0.1346, Strongly disagree: 0.1159
Index: 10, Strongly agree: 0.5314, Agree: 0.4284, Disagree: 0.0212, Strongly disagree: 0.0190
Index: 11, Strongly agree: 0.5620, Agree: 0.2319, Disagree: 0.1283, Strongly disagree: 0.0778
Index: 12, Strongly agree: 0.4995, Agree: 0.4018, Disagree: 0.0617, Strongly disagree: 0.0370
Index: 13, Strongly agree: 0.5496, Agree: 0.3238, Disagree: 0.0715, Strongly disagree: 0.0551
Index: 14, Strongly disagree: 0.4339, Disagree: 0.3777, Strongly agree: 0.1303, Agree: 0.0581
Index: 15, Disagree: 0.4006, Strongly disagree: 0.2052, Agree: 0.1983, Strongly agree: 0.1959
Index: 16, Agree: 0.5413, Strongly agree: 0.4027, Disagree: 0.0331, Strongly disagree: 0.0229
Index: 17, Strongly disagree: 0.4738, Disagree: 0.4539, Strongly agree: 0.0395, Agree: 0.0327
Index: 18, Strongly disagree: 0.5848, Disagree: 0.3762, Strongly agree: 0.0206, Agree: 0.0184
Index: 19, Strongly disagree: 0.4970, Disagree: 0.3400, Strongly agree: 0.1030, Agree: 0.0600
Index: 20, Agree: 0.5080, Strongly agree: 0.4724, Disagree: 0.0099, Strongly disagree: 0.0097
Index: 21, Agree: 0.4851, Strongly agree: 0.4652, Disagree: 0.0261, Strongly disagree: 0.0236
Index: 22, Strongly disagree: 0.2950, Disagree: 0.2832, Strongly agree: 0.2550, Agree: 0.1667
Index: 23, Agree: 0.4804, Strongly agree: 0.4766, Disagree: 0.0217, Strongly disagree: 0.0213
Index: 24, Disagree: 0.5914, Strongly disagree: 0.2973, Agree: 0.0654, Strongly agree: 0.0459
Index: 25, Strongly agree: 0.3686, Agree: 0.3618, Strongly disagree: 0.1480, Disagree: 0.1216
Index: 26, Disagree: 0.4381, Strongly disagree: 0.3157, Agree: 0.1511, Strongly agree: 0.0951
Index: 27, Disagree: 0.5009, Agree: 0.1912, Strongly disagree: 0.1811, Strongly agree: 0.1268
Index: 28, Strongly disagree: 0.4689, Disagree: 0.2928, Strongly agree: 0.1444, Agree: 0.0939
Index: 29, Agree: 0.5591, Strongly agree: 0.4027, Disagree: 0.0228, Strongly disagree: 0.0153
Index: 30, Agree: 0.6300, Strongly agree: 0.3461, Disagree: 0.0125, Strongly disagree: 0.0114
