Index: 1, Strongly agree: 0.4795, Agree: 0.2836, Strongly disagree: 0.1308, Disagree: 0.1061
Index: 2, Strongly disagree: 0.4516, Disagree: 0.3558, Agree: 0.1064, Strongly agree: 0.0861
Index: 3, Strongly disagree: 0.4454, Disagree: 0.3104, Strongly agree: 0.1303, Agree: 0.1140
Index: 4, Strongly disagree: 0.5766, Disagree: 0.2607, Strongly agree: 0.0897, Agree: 0.0730
Index: 5, Strongly agree: 0.3733, Disagree: 0.3070, Agree: 0.2271, Strongly disagree: 0.0926
Index: 6, Disagree: 0.3196, Strongly disagree: 0.3094, Agree: 0.1911, Strongly agree: 0.1799
Index: 7, Strongly disagree: 0.3324, Disagree: 0.2745, Strongly agree: 0.2468, Agree: 0.1462
Index: 8, Strongly disagree: 0.3061, Strongly agree: 0.2542, Disagree: 0.2420, Agree: 0.1976
Index: 9, Strongly disagree: 0.3651, Disagree: 0.3264, Strongly agree: 0.2091, Agree: 0.0993
Index: 10, Strongly disagree: 0.4078, Disagree: 0.2613, Strongly agree: 0.2039, Agree: 0.1270
Index: 11, Strongly agree: 0.3984, Strongly disagree: 0.2686, Agree: 0.2004, Disagree: 0.1326
Index: 12, Strongly disagree: 0.3358, Disagree: 0.3262, Strongly agree: 0.2032, Agree: 0.1349
Index: 13, Agree: 0.6972, Strongly agree: 0.2771, Disagree: 0.0140, Strongly disagree: 0.0117
Index: 14, Strongly disagree: 0.3426, Disagree: 0.2645, Strongly agree: 0.2421, Agree: 0.1507
Index: 15, Disagree: 0.4064, Strongly disagree: 0.2823, Agree: 0.1708, Strongly agree: 0.1405
Index: 16, Agree: 0.4758, Strongly agree: 0.3395, Disagree: 0.0931, Strongly disagree: 0.0916
Index: 17, Agree: 0.2748, Strongly disagree: 0.2683, Disagree: 0.2318, Strongly agree: 0.2251
Index: 18, Strongly disagree: 0.4308, Disagree: 0.2773, Strongly agree: 0.1824, Agree: 0.1095
Index: 19, Disagree: 0.3517, Strongly disagree: 0.3105, Agree: 0.1752, Strongly agree: 0.1626
Index: 20, Agree: 0.5570, Strongly agree: 0.4169, Strongly disagree: 0.0136, Disagree: 0.0126
Index: 21, Agree: 0.5279, Strongly agree: 0.3617, Strongly disagree: 0.0608, Disagree: 0.0496
Index: 22, Strongly disagree: 0.3750, Disagree: 0.3142, Strongly agree: 0.2092, Agree: 0.1016
Index: 23, Agree: 0.4969, Strongly agree: 0.4462, Strongly disagree: 0.0287, Disagree: 0.0282
Index: 24, Strongly disagree: 0.3548, Disagree: 0.2629, Strongly agree: 0.2287, Agree: 0.1536
Index: 25, Strongly disagree: 0.3544, Strongly agree: 0.2543, Disagree: 0.2419, Agree: 0.1494
Index: 26, Disagree: 0.4402, Strongly disagree: 0.3499, Strongly agree: 0.1124, Agree: 0.0975
Index: 27, Disagree: 0.3839, Strongly disagree: 0.3624, Agree: 0.1333, Strongly agree: 0.1204
Index: 28, Disagree: 0.4858, Strongly disagree: 0.2984, Strongly agree: 0.1141, Agree: 0.1017
Index: 29, Agree: 0.5027, Strongly agree: 0.3422, Strongly disagree: 0.0859, Disagree: 0.0692
Index: 30, Strongly disagree: 0.3721, Disagree: 0.2960, Strongly agree: 0.1953, Agree: 0.1366
Index: 31, Disagree: 0.3021, Strongly agree: 0.2459, Strongly disagree: 0.2349, Agree: 0.2170
Index: 32, Strongly disagree: 0.3572, Disagree: 0.3545, Strongly agree: 0.1940, Agree: 0.0943
Index: 33, Disagree: 0.4188, Strongly disagree: 0.2730, Strongly agree: 0.1556, Agree: 0.1525
Index: 34, Disagree: 0.3215, Strongly agree: 0.2806, Agree: 0.2414, Strongly disagree: 0.1565
Index: 35, Strongly disagree: 0.3587, Disagree: 0.2992, Strongly agree: 0.1839, Agree: 0.1582
Index: 36, Disagree: 0.5136, Strongly disagree: 0.2803, Agree: 0.1187, Strongly agree: 0.0874
Index: 37, Strongly disagree: 0.3267, Strongly agree: 0.2565, Disagree: 0.2491, Agree: 0.1677
Index: 38, Strongly disagree: 0.4157, Disagree: 0.2989, Strongly agree: 0.1598, Agree: 0.1255
Index: 39, Strongly disagree: 0.3759, Disagree: 0.2874, Agree: 0.1832, Strongly agree: 0.1535
Index: 40, Strongly disagree: 0.5148, Disagree: 0.3000, Strongly agree: 0.1222, Agree: 0.0630
Index: 41, Strongly agree: 0.4689, Disagree: 0.2726, Strongly disagree: 0.2140, Agree: 0.0446
Index: 42, Strongly disagree: 0.4729, Strongly agree: 0.2348, Disagree: 0.1497, Agree: 0.1426
Index: 43, Strongly disagree: 0.4371, Disagree: 0.2421, Strongly agree: 0.2092, Agree: 0.1116
Index: 44, Disagree: 0.3453, Strongly disagree: 0.3185, Strongly agree: 0.1898, Agree: 0.1464
Index: 45, Strongly disagree: 0.5350, Disagree: 0.2467, Strongly agree: 0.1486, Agree: 0.0696
Index: 46, Disagree: 0.4312, Strongly disagree: 0.3775, Agree: 0.1099, Strongly agree: 0.0814
Index: 47, Strongly disagree: 0.3577, Disagree: 0.3149, Strongly agree: 0.1916, Agree: 0.1358
Index: 48, Strongly disagree: 0.4567, Disagree: 0.4144, Strongly agree: 0.0795, Agree: 0.0494
Index: 49, Strongly disagree: 0.4722, Disagree: 0.4335, Strongly agree: 0.0481, Agree: 0.0462
Index: 50, Strongly agree: 0.3095, Agree: 0.2607, Strongly disagree: 0.2315, Disagree: 0.1983
Index: 51, Strongly agree: 0.7002, Agree: 0.1645, Disagree: 0.1040, Strongly disagree: 0.0313
Index: 52, Disagree: 0.4331, Strongly disagree: 0.4072, Agree: 0.0878, Strongly agree: 0.0719
Index: 53, Strongly disagree: 0.3664, Disagree: 0.2472, Agree: 0.2163, Strongly agree: 0.1701
Index: 54, Strongly agree: 0.3162, Strongly disagree: 0.2678, Disagree: 0.2525, Agree: 0.1635
Index: 55, Disagree: 0.3990, Strongly disagree: 0.3245, Agree: 0.1685, Strongly agree: 0.1080
Index: 56, Strongly agree: 0.4615, Agree: 0.3021, Strongly disagree: 0.1230, Disagree: 0.1134
Index: 57, Strongly disagree: 0.3755, Disagree: 0.3392, Agree: 0.1623, Strongly agree: 0.1229
Index: 58, Strongly disagree: 0.2895, Strongly agree: 0.2894, Agree: 0.2242, Disagree: 0.1968
Index: 59, Strongly disagree: 0.2848, Disagree: 0.2803, Strongly agree: 0.2457, Agree: 0.1893
Index: 60, Agree: 0.3596, Strongly agree: 0.2392, Disagree: 0.2213, Strongly disagree: 0.1799
Index: 61, Strongly disagree: 0.5368, Disagree: 0.3915, Agree: 0.0368, Strongly agree: 0.0349
Index: 62, Strongly disagree: 0.4285, Disagree: 0.3324, Strongly agree: 0.1198, Agree: 0.1193
